ID,Bairro,Betweenness
0,AEROPORTO,0.01944161368482122
1,AFONSO PENA,0.10331808546049903
2,ALTA VILLE,0.0013670076973835324
3,ALTEROSA,0.005666044836548373
4,ALTO DAS OLIVEIRAS,0.0010253927111668116
5,ALTO SAO VICENTE,0.0017461741616860754
6,ALVORADA,0.02236471062040368
7,ANCHIETA,0.0027486829899351084
8,ANTONIO FONSECA,0.07073255130002386
9,BELA VISTA,0.020824190759084208
10,BELO VALE,0.007506826517892215
11,BELVEDERE,0.08829892702812112
12,BOM PASTOR,0.1755701404435721
13,CACOCO,0.0013670685587742711
14,CAMPINA VERDE,0.037712639048497885
15,CASA NOVA,0.010686712461211514
16,CASTELO,0.00964117469287534
17,CATALAO,0.1288902221180454
18,CENTRO,0.4521581844679601
19,CHACARA NOVO HORIZONTE,6.694752981264795e-07
20,CHACARAS BEIRA RIO,0.0
21,CHACARAS BELO HORIZONTE,3.955990398020106e-06
22,CHACARAS BOM RETIRO,0.0
23,CHACARAS BOM RETIRO ,0.0
24,CHACARAS CAMPO GRANDE,0.00034185843177967593
25,CHACARAS DE SANTA MONICA,0.0
26,CHACARAS SANTA RITA,0.016047292465396344
27,CHACARAS SHAROM,0.00034185843177967593
28,CHANADOUR,0.06012251265095743
29,CIDADE JARDIM,0.02870454993961429
30,CONDOMINIO DO RECANTO DAS AGUAS,0.0
31,CONDOMINIO VILLE ROYALE,0.00925748988338302
32,COSTA AZUL,0.004780479658358235
33,DA LUZ,0.0
34,DANILO PASSOS,0.040898372866771664
35,DAVANUZE,0.05247167534197421
36,DEL REY,0.012268560867902909
37,DISTRITO INDUSTRIAL,2.869614573333046e-05
38,DISTRITO INDUSTRIAL CEL JOVELINO RABELO,0.00944890665355806
39,DO CARMO,0.00015268601401589142
40,DOM CRISTIANO,0.0032414594123297167
41,DOM PEDRO II,0.056659059772823914
42,DONA QUITA,0.008254610940701367
43,DONA ROSA,0.019934383788241312
44,DOUTOR DULPHE PINTO DE AGUIAR,0.003757095373085803
45,DOUTOR JOSE TOMAZ,0.004780479658358235
46,ELDORADO,0.03717993313023752
47,ELIZABETH NOGUEIRA,0.008461279829653329
48,ERMINOPOLIS,4.337388446649738e-05
49,ESPIRITO SANTO,0.027954568335082537
50,ESPLANADA,0.28180524916757393
51,ESTANCIA GAFANHOTO,0.00034185843177967593
52,EXPOSICAO,0.006825604971353152
53,FABIO NOTINI,0.03986871467680959
54,FAZENDA DA UZINA,0.0035190563303413467
55,FLORERMIDA,0.00018341594455640909
56,FLORERMIDA ,0.0
57,FLORESTA,0.037273463252926915
58,FONTE BOA,0.0034158455552135147
59,FRANCISCO MACHADO FILHO,0.0
60,GARCIA LEAO,0.0
61,GERALDO PEREIRA,0.017336303972018508
62,GRAJAU,0.017614314785637023
63,GRANJAS DO SHEIK,0.017484034274839137
64,HALIM SOUKI,0.04931849888054928
65,HELENO RAMOS FREITAS,0.002050237669816974
66,ICARAI,0.02699071217849831
67,INHAME,0.0
68,INTERLAGOS,0.28965844994723877
69,IPANEMA,0.017271299987433306
70,IPIRANGA,0.08843705905927163
71,ITACOLOMI,0.001708683544990992
72,ITAI,0.03485017607806314
73,JARDIM BETANIA,0.006144139979251135
74,JARDIM BRASILIA,0.005530566066120092
75,JARDIM CANDELARIA,0.051308036121435904
76,JARDIM CAPITAO SILVA,0.07725979225381803
77,JARDIM COPACABANA,0.017018366385328804
78,JARDIM DAS ACACIAS,0.045232023300012546
79,JARDIM DAS MANSOES,0.003074534875950488
80,JARDIM DAS OLIVEIRAS,0.0631789222862963
81,JARDIM DOS CANDIDES,0.03308193876941397
82,JARDIM FLORAMAR,0.001708683544990992
83,JARDIM NOVA AMERICA,0.022094206372942293
84,JARDIM PRIMAVERA,7.601587703272477e-05
85,JARDIM REAL,9.12920861081563e-07
86,JARDIM ZONA SUL,0.002050237669816974
87,JARDINOPOLIS,0.03354612909991237
88,JARDM DAS OLIVEIRAS,0.0
89,JOAO PAULO II,0.07742838304322701
90,JOSE ANTONIO GONCALVES,0.0013670685587742711
91,JUSA FONSECA,0.053777315219062705
92,JUSCELINO KUBISTCHEK,0.0019300729399423446
93,JUSSARA,0.0
94,LAGOA DOS MANDARINS,0.0318964117615803
95,LAGOA PARK,0.00034185843177967593
96,LEVINDO DE PAULA PEREIRA,0.012943087661460706
97,LIBERDADE,0.024301002814749416
98,MANGABEIRAS,0.01879063607792265
99,MANOEL VALINHAS,0.04263838560812902
100,MAR E TERRA,0.024773047616546817
101,MARAJO,0.02542976135957081
102,MARIA HELENA,0.009292408430081651
103,MARIA PECANHA,0.00982274914047957
104,MARISA PARDINI,0.0006836560021686132
105,MORADA NOVA,0.022852153159891402
106,MORUMBI,0.054232457978805604
107,NACOES,0.147244125363178
108,NILDA BARROS,0.008868539274281474
109,NITEROI,0.14976793325301607
110,NOSSA SENHORA DA CONCEICAO,0.01770531593063884
111,NOSSA SENHORA DAS GRACAS,0.029594026003429676
112,NOSSA SENHORA DE LOURDES,0.010273526393814188
