ID,Bairro,Comunidade Girvan-Newman,Comunidade Louvain,Comunidade Label Propagation,Comunidade Leiden
0,AEROPORTO,0,0,0,6
1,AFONSO PENA,0,1,1,8
2,ALTA VILLE,0,2,2,2
3,ALTEROSA,1,3,3,0
4,ALTO DAS OLIVEIRAS,0,4,4,3
5,ALTO SAO VICENTE,0,1,1,8
6,ALVORADA,0,4,1,3
7,ANCHIETA,0,4,4,3
8,ANTONIO FONSECA,0,0,5,6
9,BELA VISTA,1,3,6,0
10,BELO VALE,0,5,7,4
11,BELVEDERE,1,3,3,0
12,BOM PASTOR,0,4,1,3
13,CACOCO,1,6,8,10
14,CAMPINA VERDE,0,5,9,12
15,CASA NOVA,0,5,9,12
16,CASTELO,1,3,3,0
17,CATALAO,0,3,10,7
18,CENTRO,0,1,1,8
19,CHACARA NOVO HORIZONTE,2,7,11,13
20,CHACARAS BEIRA RIO,1,8,12,5
21,CHACARAS BELO HORIZONTE,2,7,11,13
22,CHACARAS BOM RETIRO,1,6,13,10
23,CHACARAS BOM RETIRO ,1,6,8,10
24,CHACARAS CAMPO GRANDE,0,2,2,2
25,CHACARAS DE SANTA MONICA,3,9,14,14
26,CHACARAS SANTA RITA,0,5,9,12
27,CHACARAS SHAROM,1,6,13,10
28,CHANADOUR,1,3,15,0
29,CIDADE JARDIM,0,0,5,6
30,CONDOMINIO DO RECANTO DAS AGUAS,4,10,16,15
31,CONDOMINIO VILLE ROYALE,1,3,15,0
32,COSTA AZUL,0,0,0,6
33,DA LUZ,0,11,17,1
34,DANILO PASSOS,0,11,18,1
35,DAVANUZE,0,2,19,2
36,DEL REY,0,11,20,1
37,DISTRITO INDUSTRIAL,5,12,21,9
38,DISTRITO INDUSTRIAL CEL JOVELINO RABELO,1,8,22,5
39,DO CARMO,0,11,18,1
40,DOM CRISTIANO,1,4,23,3
41,DOM PEDRO II,0,3,10,7
42,DONA QUITA,0,2,19,2
43,DONA ROSA,0,2,19,2
44,DOUTOR DULPHE PINTO DE AGUIAR,0,5,7,4
45,DOUTOR JOSE TOMAZ,0,11,17,1
46,ELDORADO,1,13,24,11
47,ELIZABETH NOGUEIRA,0,0,0,6
48,ERMINOPOLIS,5,12,21,9
49,ESPIRITO SANTO,0,11,18,1
50,ESPLANADA,0,0,5,7
51,ESTANCIA GAFANHOTO,1,13,25,11
52,EXPOSICAO,1,3,15,0
53,FABIO NOTINI,0,5,9,12
54,FAZENDA DA UZINA,1,13,25,11
55,FLORERMIDA,5,12,21,9
56,FLORERMIDA ,5,12,21,9
57,FLORESTA,1,6,26,10
58,FONTE BOA,1,4,23,3
59,FRANCISCO MACHADO FILHO,0,0,5,7
60,GARCIA LEAO,0,1,1,8
61,GERALDO PEREIRA,1,3,15,0
62,GRAJAU,1,8,22,5
63,GRANJAS DO SHEIK,1,8,27,5
64,HALIM SOUKI,0,11,18,1
65,HELENO RAMOS FREITAS,0,2,19,2
66,ICARAI,1,13,22,11
67,INHAME,1,6,8,10
68,INTERLAGOS,0,0,5,7
69,IPANEMA,1,8,22,5
70,IPIRANGA,0,5,7,4
71,ITACOLOMI,1,3,3,0
72,ITAI,0,11,18,1
73,JARDIM BETANIA,0,5,7,4
74,JARDIM BRASILIA,0,5,7,4
75,JARDIM CANDELARIA,1,4,23,3
76,JARDIM CAPITAO SILVA,0,1,1,8
77,JARDIM COPACABANA,1,8,27,5
78,JARDIM DAS ACACIAS,1,3,15,0
79,JARDIM DAS MANSOES,0,11,28,1
80,JARDIM DAS OLIVEIRAS,1,4,23,3
81,JARDIM DOS CANDIDES,1,8,22,5
82,JARDIM FLORAMAR,1,8,22,5
83,JARDIM NOVA AMERICA,0,1,1,8
84,JARDIM PRIMAVERA,5,12,21,9
85,JARDIM REAL,6,14,29,16
86,JARDIM ZONA SUL,1,6,26,10
87,JARDINOPOLIS,1,6,26,10
88,JARDM DAS OLIVEIRAS,0,4,23,3
89,JOAO PAULO II,1,8,12,5
90,JOSE ANTONIO GONCALVES,1,3,15,0
91,JUSA FONSECA,0,0,5,6
92,JUSCELINO KUBISTCHEK,1,8,27,5
93,JUSSARA,1,3,3,0
94,LAGOA DOS MANDARINS,1,13,24,11
95,LAGOA PARK,0,2,19,2
96,LEVINDO DE PAULA PEREIRA,0,5,7,4
97,LIBERDADE,0,4,1,3
98,MANGABEIRAS,0,2,19,7
99,MANOEL VALINHAS,0,11,18,1
100,MAR E TERRA,0,0,5,6
101,MARAJO,1,3,15,0
102,MARIA HELENA,0,2,19,7
103,MARIA PECANHA,0,0,0,6
104,MARISA PARDINI,0,2,19,2
105,MORADA NOVA,1,3,6,0
106,MORUMBI,1,8,12,5
107,NACOES,0,2,19,2
108,NILDA BARROS,0,5,9,12
109,NITEROI,0,11,18,1
110,NOSSA SENHORA DA CONCEICAO,0,4,1,3
111,NOSSA SENHORA DAS GRACAS,0,0,5,6
112,NOSSA SENHORA DE LOURDES,0,0,5,6
113,NOVA FORTALEZA,0,4,4,3
114,NOVA HOLANDA,0,0,0,6
115,NOVA SUICA,1,8,12,5
116,NOVA VISTA,1,3,6,0
117,NOVA VISTA ,1,3,3,0
118,NOVO PARAISO,0,2,19,2
119,OLIVEIRAS,0,4,1,3
120,ORION,0,5,7,4
121,OSWALDO MACHADO GONTIJO,0,4,4,3
122,PADRE EUSTAQUIO,0,2,19,2
123,PADRE HERCULANO,1,3,15,0
124,PADRE LIBERIO,0,4,1,3
125,PARAISO,0,2,19,2
126,PLANALTO,0,5,30,4
127,PONTE FUNDA,0,2,19,7
128,PORTO VELHO,0,0,5,7
129,PRIMAVERA,0,11,20,1
130,PROGRESSO,0,2,19,7
131,QUINTA DAS PALMEIRAS,0,0,0,6
132,QUINTINO,0,5,9,12
133,RANCHO ALEGRE,0,5,7,4
134,REALENGO,1,3,3,0
135,RESIDENCIAL ALTO DAS OLIVEIRAS,0,4,4,3
136,SAGRADA FAMILIA,0,2,19,2
137,SANTA CLARA,0,1,1,8
138,SANTA CRUZ,5,12,21,9
139,SANTA LUCIA,0,2,19,2
140,SANTA LUZIA,0,3,10,4
141,SANTA MARTHA,0,4,23,3
142,SANTA ROSA,0,2,19,2
143,SANTA TEREZA,0,0,5,6
144,SANTO ANDRE,1,8,12,5
145,SANTO ANTONIO,0,5,30,4
146,SANTO ANTONIO DOS CAMPOS,5,12,21,9
147,SANTOS DUMONT,0,0,0,6
148,SAO BENTO,0,2,31,2
149,SAO CAETANO,1,13,25,11
150,SAO CRISTOVAO,1,6,26,10
151,SAO DOMINGOS,1,1,32,0
152,SAO FREI GALVAO,1,8,22,5
153,SAO GERALDO,0,11,20,1
154,SAO JOAO DE DEUS,0,0,5,7
155,SAO JOSE,0,3,10,0
156,SAO JUDAS TADEU,1,3,15,0
157,SAO LUCAS,0,11,20,1
158,SAO LUIZ,0,11,18,1
159,SAO MIGUEL,0,3,10,7
160,SAO PAULO,1,1,32,0
161,SAO ROQUE,0,5,7,4
162,SAO SEBASTIAO,0,1,1,8
163,SAO SIMAO,1,8,22,5
164,SAVASSI,1,8,22,5
165,SERRA VERDE,0,4,4,3
166,SION,0,5,7,4
