ID,Data Fato,Bairro,Descricao Subclasse Natureza,Tentado Consumado,Descricao Meio Utilizado,Idade Aparente,Raca Cor,Escolaridade
0,01/01/2023,DANILO PASSOS,AMEACA,CONSUMADO,FALA,32.0,BRANCA,SUPERIOR COMPLETO
1,01/01/2023,INTERLAGOS,FURTO,CONSUMADO,ESCALADA,22.0,BRANCA,SUPERIOR COMPLETO
2,01/01/2023,JARDIM CANDELARIA,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,30.0,BRANCA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO 
3,01/01/2023,FLORESTA,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,26.0,PARDA,SUPERIOR COMPLETO
4,01/01/2023,ELIZABETH NOGUEIRA,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,29.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
5,01/01/2023,NOSSA SENHORA DAS GRACAS,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,21.0,PARDA,ENSINO MEDIO INCOMPLETO   2o GRAU 
6,01/01/2023,PARAISO,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,27.0,PARDA,ALFABETIZADO
7,01/01/2023,NACOES,AMEACA,CONSUMADO,FALA,33.0,PARDA,ALFABETIZADO
8,01/01/2023,GRAJAU,AMEACA,CONSUMADO,FALA,20.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
9,01/01/2023,BELO VALE,AMEACA,CONSUMADO,FALA,39.0,PARDA,ESCOLARIDADE   IGNORADA
10,01/01/2023,DANILO PASSOS,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,28.0,PARDA,ESCOLARIDADE   IGNORADA
11,01/01/2023,PADRE LIBERIO,FURTO,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,45.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
12,01/01/2023,CATALAO,FURTO,CONSUMADO,ARROMBAMENTO ROMPIMENTO DE OBSTACULO,28.0,PRETO,ALFABETIZADO
13,01/01/2024,BELVEDERE,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,22.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
14,01/01/2024,JARDINOPOLIS,AMEACA,CONSUMADO,FALA,50.0,PARDA,ESCOLARIDADE   IGNORADA
15,01/01/2024,DAVANUZE,ESTUPRO DE VULNERAVEL,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,12.0,BRANCA,ALFABETIZADO
16,01/01/2024,NITEROI,AMEACA,CONSUMADO,FALA,61.0,BRANCA,ALFABETIZADO
17,01/01/2024,VALE DO SOL,AMEACA,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,28.0,BRANCA,SUPERIOR INCOMPLETO
18,01/01/2024,BELVEDERE,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,51.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
19,01/01/2024,VALE DO SOL,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,60.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
20,01/01/2024,ESPLANADA,AMEACA,CONSUMADO,FALA,37.0,PARDA,SUPERIOR INCOMPLETO
21,01/01/2024,VILA DAS ROSEIRAS,AMEACA,CONSUMADO,FALA,19.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
22,01/02/2023,ORION,AMEACA,CONSUMADO,FALA,39.0,BRANCA,ALFABETIZADO
23,01/02/2023,CENTRO,ESTELIONATO,CONSUMADO,FRAUDE,28.0,BRANCA,SUPERIOR COMPLETO
24,01/02/2023,CENTRO,VIOLENCIA PSICOLOGICA,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,34.0,BRANCA,POS GRADUACAO
25,01/02/2024,SANTA CLARA,AMEACA,CONSUMADO,FALA,56.0,BRANCA,ALFABETIZADO
26,01/02/2024,CENTRO,ESTELIONATO,CONSUMADO,ABUSO DE CONFIANCA,47.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU 
27,01/02/2024,JARDIM DAS OLIVEIRAS,ESTELIONATO,CONSUMADO,FRAUDE,84.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
28,01/02/2024,JARDIM BETANIA,DIFAMACAO,CONSUMADO,RADIODIFUSAO  TELEVISAO  RADIO  SIMILARES ,49.0,PARDA,POS GRADUACAO
29,01/02/2024,NITEROI,FURTO,CONSUMADO,EMPREGO DE CHAVE FALSA   MICHA   GAZUA,41.0,BRANCA,ALFABETIZADO
30,01/02/2024,CENTRO,DIFAMACAO,CONSUMADO,FALA,45.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
31,01/02/2024,PORTO VELHO,AMEACA,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,42.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
32,01/02/2024,REALENGO,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,42.0,PRETO,SUPERIOR COMPLETO
33,01/02/2024,JARDIM NOVA AMERICA,FURTO,CONSUMADO,ABUSO DE CONFIANCA,79.0,PARDA,SUPERIOR COMPLETO
34,01/02/2024,CENTRO,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,54.0,BRANCA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO 
35,01/02/2024,PORTO VELHO,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,19.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
36,01/03/2023,JARDIM NOVA AMERICA,FURTO,CONSUMADO,MEIO DESCONHECIDO,28.0,BRANCA,ALFABETIZADO
37,01/03/2023,MANOEL VALINHAS,AMEACA,CONSUMADO,INST CONTUNDENTE CORTANTE PERFURANTE  ARMA BR,48.0,PARDA,ENSINO MEDIO INCOMPLETO   2o GRAU 
38,01/03/2023,BOM PASTOR,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,71.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
39,01/03/2023,CENTRO,FURTO,CONSUMADO,ABUSO DE CONFIANCA,34.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
40,01/03/2023,SANTA ROSA,ROUBO,CONSUMADO,ARMAS DE FOGO,11.0,PARDA,ESCOLARIDADE   IGNORADA
41,01/03/2023,NACOES,APROPRIACAO INDEBITA DE COISA ALHEIA MOVEL,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,53.0,BRANCA,ALFABETIZADO
42,01/03/2023,CENTRO,ESTELIONATO,CONSUMADO,ABUSO DE CONFIANCA,65.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
43,01/03/2023,PADRE EUSTAQUIO,ESTELIONATO,CONSUMADO,ABUSO DE CONFIANCA,44.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
44,01/03/2023,PLANALTO,CALUNIA,CONSUMADO,FALA,26.0,PRETO,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO 
45,01/03/2023,HALIM SOUKI,DANO,CONSUMADO,SEM EMPREGO DE INSTRUMENTOS,25.0,BRANCA,ENSINO MEDIO INCOMPLETO   2o GRAU 
46,01/03/2024,HELENO RAMOS FREITAS,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,43.0,BRANCA,ENSINO MEDIO INCOMPLETO   2o GRAU 
47,01/03/2024,CENTRO,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,42.0,BRANCA,ALFABETIZADO
48,01/03/2024,CENTRO,FURTO,CONSUMADO,MEIO DESCONHECIDO,54.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
49,01/04/2023,NITEROI,AMEACA,CONSUMADO,FALA,27.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
50,01/04/2023,NITEROI,AMEACA,CONSUMADO,FALA,58.0,PARDA,ALFABETIZADO
51,01/04/2023,NITEROI,AMEACA,CONSUMADO,FALA,24.0,PARDA,ALFABETIZADO
52,01/04/2023,DANILO PASSOS,AMEACA,CONSUMADO,FALA,28.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
