Município,Ano,População,Número de Vítimas,Índice de Violência,RISP,RMBH,PIB per capita
ABADIA DOS DOURADOS,2014,6992.0,29.0,41.47597254004576,10º RISP - Patos de Minas,3) Interior de MG,27377.91
ABADIA DOS DOURADOS,2015,7015.0,41.0,58.44618674269422,10º RISP - Patos de Minas,3) Interior de MG,23446.96
ABADIA DOS DOURADOS,2016,7037.0,53.0,75.3161858746625,10º RISP - Patos de Minas,3) Interior de MG,25627.2
ABADIA DOS DOURADOS,2017,7059.0,33.0,46.74883127921802,10º RISP - Patos de Minas,3) Interior de MG,21944.76
ABADIA DOS DOURADOS,2018,6972.0,38.0,54.50372920252439,10º RISP - Patos de Minas,3) Interior de MG,18389.1
ABADIA DOS DOURADOS,2019,6989.0,18.0,25.754757476033767,10º RISP - Patos de Minas,3) Interior de MG,18267.58
ABADIA DOS DOURADOS,2020,7006.0,30.0,42.82043962318013,10º Departamento - Patos de Minas,3) Interior de MG,21989.82
ABADIA DOS DOURADOS,2021,7022.0,38.0,54.11563657077755,10º Departamento - Patos de Minas,3) Interior de MG,25174.26
ABAETE,2014,23494.0,240.0,102.15374138077807,7º RISP - Divinópolis,3) Interior de MG,14882.01
ABAETE,2015,23535.0,263.0,111.74845974081155,7º RISP - Divinópolis,3) Interior de MG,14429.87
ABAETE,2016,23574.0,223.0,94.59574107067107,7º RISP - Divinópolis,3) Interior de MG,18243.05
ABAETE,2017,23611.0,214.0,90.63572063868536,7º RISP - Divinópolis,3) Interior de MG,18043.93
ABAETE,2018,23223.0,236.0,101.62339060414244,7º RISP - Divinópolis,3) Interior de MG,21329.32
ABAETE,2019,23237.0,230.0,98.9800748805784,7º RISP - Divinópolis,3) Interior de MG,22278.73
ABAETE,2020,23250.0,192.0,82.58064516129032,7º Departamento - Divinópolis,3) Interior de MG,23891.37
ABAETE,2021,23263.0,202.0,86.83316855091776,7º Departamento - Divinópolis,3) Interior de MG,23266.1
ABRE CAMPO,2014,13711.0,84.0,61.264677995769816,12º RISP - Ipatinga,3) Interior de MG,11316.06
ABRE CAMPO,2015,13719.0,58.0,42.27713390188789,12º RISP - Ipatinga,3) Interior de MG,13345.88
ABRE CAMPO,2016,13726.0,62.0,45.16975083782603,12º RISP - Ipatinga,3) Interior de MG,13692.0
ABRE CAMPO,2017,13733.0,60.0,43.69038083448628,12º RISP - Ipatinga,3) Interior de MG,13538.52
ABRE CAMPO,2018,13465.0,51.0,37.87597474935017,12º RISP - Ipatinga,3) Interior de MG,13932.52
ABRE CAMPO,2019,13454.0,78.0,57.97532332391854,12º RISP - Ipatinga,3) Interior de MG,15128.18
ABRE CAMPO,2020,13444.0,68.0,50.580184468908065,12º Departamento - Ipatinga,3) Interior de MG,16843.8
ABRE CAMPO,2021,13434.0,58.0,43.174036027988684,12º Departamento - Ipatinga,3) Interior de MG,19553.86
ACAIACA,2014,4050.0,25.0,61.72839506172839,12º RISP - Ipatinga,3) Interior de MG,7686.15
ACAIACA,2015,4056.0,34.0,83.82642998027613,12º RISP - Ipatinga,3) Interior de MG,7858.53
ACAIACA,2016,4061.0,22.0,54.17384880571288,12º RISP - Ipatinga,3) Interior de MG,8959.87
ACAIACA,2017,4065.0,43.0,105.78105781057812,12º RISP - Ipatinga,3) Interior de MG,9535.48
ACAIACA,2018,3994.0,39.0,97.64646970455684,12º RISP - Ipatinga,3) Interior de MG,11089.56
ACAIACA,2019,3994.0,28.0,70.10515773660491,12º RISP - Ipatinga,3) Interior de MG,14004.8
ACAIACA,2020,3994.0,26.0,65.09764646970456,12º Departamento - Ipatinga,3) Interior de MG,14568.92
ACAIACA,2021,3995.0,25.0,62.57822277847309,12º Departamento - Ipatinga,3) Interior de MG,16247.06
ACUCENA,2014,10216.0,48.0,46.98512137823023,12º RISP - Ipatinga,3) Interior de MG,8293.11
ACUCENA,2015,10140.0,44.0,43.39250493096647,12º RISP - Ipatinga,3) Interior de MG,8057.22
ACUCENA,2016,10066.0,28.0,27.816411682892905,12º RISP - Ipatinga,3) Interior de MG,9405.42
ACUCENA,2017,9997.0,38.0,38.01140342102631,12º RISP - Ipatinga,3) Interior de MG,9702.86
ACUCENA,2018,9575.0,31.0,32.375979112271544,12º RISP - Ipatinga,3) Interior de MG,10544.53
ACUCENA,2019,9470.0,26.0,27.455121436114045,12º RISP - Ipatinga,3) Interior de MG,9887.51
ACUCENA,2020,9368.0,33.0,35.2263023057216,12º Departamento - Ipatinga,3) Interior de MG,14794.45
ACUCENA,2021,9270.0,26.0,28.047464940668824,12º Departamento - Ipatinga,3) Interior de MG,17888.2
AGUA BOA,2014,14856.0,56.0,37.69520732364028,14º RISP - Curvelo,3) Interior de MG,7531.95
AGUA BOA,2015,14686.0,82.0,55.83548958191475,14º RISP - Curvelo,3) Interior de MG,8033.34
AGUA BOA,2016,14524.0,100.0,68.85155604516662,14º RISP - Curvelo,3) Interior de MG,9245.87
AGUA BOA,2017,14370.0,78.0,54.27974947807933,14º RISP - Curvelo,3) Interior de MG,8926.06
AGUA BOA,2018,13600.0,75.0,55.14705882352941,14º RISP - Curvelo,3) Interior de MG,10194.57
AGUA BOA,2019,13735.0,61.0,44.412085911903894,14º RISP - Curvelo,3) Interior de MG,10679.55
AGUA BOA,2020,13523.0,76.0,56.20054721585447,14º Departamento - Curvelo,3) Interior de MG,12788.24
AGUA BOA,2021,13319.0,52.0,39.041970117876716,14º Departamento - Curvelo,3) Interior de MG,14421.07
AGUA COMPRIDA,2014,2067.0,18.0,87.08272859216255,5º RISP - Uberaba,3) Interior de MG,47701.48
AGUA COMPRIDA,2015,2064.0,10.0,48.44961240310077,5º RISP - Uberaba,3) Interior de MG,43206.73
AGUA COMPRIDA,2016,2061.0,18.0,87.33624454148472,5º RISP - Uberaba,3) Interior de MG,65903.86
AGUA COMPRIDA,2017,2058.0,21.0,102.0408163265306,5º RISP - Uberaba,3) Interior de MG,64247.66
AGUA COMPRIDA,2018,2005.0,23.0,114.71321695760598,5º RISP - Uberaba,3) Interior de MG,66044.98
AGUA COMPRIDA,2019,1999.0,27.0,135.06753376688343,5º RISP - Uberaba,3) Interior de MG,72111.95
AGUA COMPRIDA,2020,1992.0,29.0,145.58232931726909,5º Departamento - Uberaba,3) Interior de MG,80190.6
AGUA COMPRIDA,2021,1986.0,12.0,60.42296072507553,5º Departamento - Uberaba,3) Interior de MG,115725.51
AGUANIL,2014,4332.0,46.0,106.1865189289012,6º RISP - Lavras,3) Interior de MG,10993.36
AGUANIL,2015,4370.0,23.0,52.63157894736842,6º RISP - Lavras,3) Interior de MG,11225.9
AGUANIL,2016,4406.0,30.0,68.08896958692692,6º RISP - Lavras,3) Interior de MG,14611.1
AGUANIL,2017,4440.0,35.0,78.82882882882882,6º RISP - Lavras,3) Interior de MG,13439.21
AGUANIL,2018,4448.0,26.0,58.45323741007194,6º RISP - Lavras,3) Interior de MG,13508.93
AGUANIL,2019,4486.0,27.0,60.187249219794914,6º RISP - Lavras,3) Interior de MG,13856.71
AGUANIL,2020,4522.0,20.0,44.22821760283061,6º Departamento - Lavras,3) Interior de MG,15831.89
AGUANIL,2021,4557.0,24.0,52.666227781435154,6º Departamento - Lavras,3) Interior de MG,20762.54
AGUAS FORMOSAS,2014,19248.0,130.0,67.53948462177888,15º RISP - Teófilo Otoni,3) Interior de MG,9668.72
AGUAS FORMOSAS,2015,19307.0,123.0,63.70746361423318,15º RISP - Teófilo Otoni,3) Interior de MG,10229.89
