bairro;bairro_divisa
SANTO ANTONIO DOS CAMPOS;DISTRITO INDUSTRIAL
SANTO ANTONIO DOS CAMPOS;ERMINOPOLIS
SANTO ANTONIO DOS CAMPOS;TOTONHO CARVALHO
SANTO ANTONIO DOS CAMPOS;VISTA ALEGRE
SANTO ANTONIO DOS CAMPOS;SANTA CRUZ
SANTO ANTONIO DOS CAMPOS;JARDIM PRIMAVERA
SANTO ANTONIO DOS CAMPOS;FLORERMIDA 
DISTRITO INDUSTRIAL;SANTA CRUZ
DISTRITO INDUSTRIAL;FLORERMIDA 
DISTRITO INDUSTRIAL;ERMINOPOLIS
SANTA CRUZ;JARDIM PRIMAVERA
SANTA CRUZ;ERMINOPOLIS
FLORERMIDA;ERMINOPOLIS
FLORERMIDA;DISTRITO INDUSTRIAL
FLORERMIDA;TOTONHO CARVALHO
FLORERMIDA;VISTA ALEGRE
ERMINOPOLIS;JARDIM PRIMAVERA
ERMINOPOLIS;VISTA ALEGRE
TOTONHO CARVALHO;VISTA ALEGRE
TOTONHO CARVALHO;JARDIM PRIMAVERA
TOTONHO CARVALHO;ERMINOPOLIS
VISTA ALEGRE;JARDIM PRIMAVERA
CONDOMINIO DO RECANTO DAS AGUAS;CONDOMINIO DO RECANTO DAS AGUAS
NOVA FORTALEZA;ANCHIETA
NOVA FORTALEZA;RESIDENCIAL ALTO DAS OLIVEIRAS
NOVA FORTALEZA;SERRA VERDE
ANCHIETA;OSWALDO MACHADO GONTIJO
ANCHIETA;SERRA VERDE
OSWALDO MACHADO GONTIJO;SERRA VERDE
OSWALDO MACHADO GONTIJO;ALVORADA
SERRA VERDE;ALVORADA
SERRA VERDE;NOSSA SENHORA DA CONCEICAO
SERRA VERDE;ALTO DAS OLIVEIRAS
ALVORADA;NOSSA SENHORA DA CONCEICAO
ALVORADA;LIBERDADE
ALVORADA;BOM PASTOR
NOSSA SENHORA DA CONCEICAO;OLIVEIRAS
NOSSA SENHORA DA CONCEICAO;BOM PASTOR
NOSSA SENHORA DA CONCEICAO;LIBERDADE
LIBERDADE;BOM PASTOR
LIBERDADE;SAO SEBASTIAO
BOM PASTOR;PADRE LIBERIO
BOM PASTOR;OLIVEIRAS
BOM PASTOR;SANTA MARTHA
BOM PASTOR;JARDIM DAS OLIVEIRAS
BOM PASTOR;SAO SEBASTIAO
BOM PASTOR;VILA DAS OLIVEIRAS
BOM PASTOR;SANTA CLARA
BOM PASTOR;AFONSO PENA
SAO SEBASTIAO;JARDIM CAPITAO SILVA
SAO SEBASTIAO;AFONSO PENA
SAO SEBASTIAO;SANTA CLARA
OLIVEIRAS;SANTA MARTHA
SANTA MARTHA;JARDM DAS OLIVEIRAS
SANTA MARTHA;DOM CRISTIANO
JARDIM DAS OLIVEIRAS;DOM CRISTIANO
JARDIM DAS OLIVEIRAS;JARDIM CANDELARIA
DOM CRISTIANO;JARDIM CANDELARIA
SANTA CLARA;AFONSO PENA
SANTA CLARA;VILA CRUZEIRO
SANTA CLARA;CENTRO
AFONSO PENA;JARDIM NOVA AMERICA
AFONSO PENA;JARDIM CAPITAO SILVA
AFONSO PENA;GARCIA LEAO
AFONSO PENA;VILA CRUZEIRO
AFONSO PENA;CENTRO
JARDIM NOVA AMERICA;JARDIM CAPITAO SILVA
GARCIA LEAO;VILA CRUZEIRO
GARCIA LEAO;JARDIM CAPITAO SILVA
JARDIM CAPITAO SILVA;VILA CRUZEIRO
JARDIM CAPITAO SILVA;CENTRO
JARDIM CAPITAO SILVA;VILA MINAS GERAIS
JARDIM CAPITAO SILVA;VILA CENTRAL DO DIVINO
JARDIM CAPITAO SILVA;IPIRANGA
JARDIM CAPITAO SILVA;LIBERDADE
VILA CRUZEIRO;VILA CENTRAL DO DIVINO
VILA CRUZEIRO;CENTRO
VILA CENTRAL DO DIVINO;CENTRO
CENTRO;VILA MINAS GERAIS
CENTRO;VILA BELO HORIZONTE
CENTRO;ESPLANADA
CENTRO;PORTO VELHO
CENTRO;NITEROI
VILA MINAS GERAIS;VILA BELO HORIZONTE
VILA MINAS GERAIS;IPIRANGA
VILA BELO HORIZONTE;ESPLANADA
VILA BELO HORIZONTE;CATALAO
VILA BELO HORIZONTE;PLANALTO
VILA BELO HORIZONTE;SANTO ANTONIO
IPIRANGA;SANTO ANTONIO
IPIRANGA;LEVINDO DE PAULA PEREIRA
IPIRANGA;JARDIM BRASILIA
IPIRANGA;ORION
IPIRANGA;SAO ROQUE
IPIRANGA;SANTA LUZIA
SANTO ANTONIO;PLANALTO
ORION;TIETE
ORION;PLANALTO
ORION;JARDIM BRASILIA
ORION;DOUTOR DULPHE PINTO DE AGUIAR
ORION;SION
ORION;RANCHO ALEGRE
JARDIM BRASILIA;LEVINDO DE PAULA PEREIRA
JARDIM BRASILIA;RANCHO ALEGRE
LEVINDO DE PAULA PEREIRA;WALCHIR RESENDE
WALCHIR RESENDE;XAVANTE
RANCHO ALEGRE;BELO VALE
RANCHO ALEGRE;SION
SION;JARDIM BETANIA
DOUTOR DULPHE PINTO DE AGUIAR;TIETE
TIETE;PLANALTO
TIETE;FABIO NOTINI
PLANALTO;SANTA LUZIA
FABIO NOTINI;CAMPINA VERDE
CAMPINA VERDE;CASA NOVA
CAMPINA VERDE;CHACARAS SANTA RITA
CASA NOVA;QUINTINO
CASA NOVA;CHACARAS SANTA RITA
CHACARAS SANTA RITA;NILDA BARROS
CHACARAS SANTA RITA;QUINTINO
QUINTINO;NILDA BARROS
JARDIM REAL;JARDIM REAL
SANTA LUZIA;CATALAO
SANTA LUZIA;SAO JOSE
CATALAO;SAO MIGUEL
CATALAO;SAO JOSE
CATALAO;DOM PEDRO II
CATALAO;ESPLANADA
SAO MIGUEL;DOM PEDRO II
SAO MIGUEL;SAO JOSE
SAO JOSE;SAO JUDAS TADEU
SAO JOSE;DOM PEDRO II
SAO JOSE;BELA VISTA
SAO JOSE;MORADA NOVA
SAO JOSE;BELVEDERE
DOM PEDRO II;ESPLANADA
SAO JUDAS TADEU;BELA VISTA
SAO JUDAS TADEU;MORADA NOVA
SAO JUDAS TADEU;BELVEDERE
SAO JUDAS TADEU;NOVA VISTA
SAO JUDAS TADEU;MARAJO
SAO JUDAS TADEU;YANES
SAO JUDAS TADEU;CHANADOUR
SAO JUDAS TADEU;GERALDO PEREIRA
SAO JUDAS TADEU;JOSE ANTONIO GONCALVES
JOSE ANTONIO GONCALVES;MARAJO
MARAJO;YANES
MARAJO;PADRE HERCULANO
MARAJO;JARDIM DAS ACACIAS
MARAJO;CHANADOUR
YANES;CHANADOUR
YANES;GERALDO PEREIRA
YANES;JARDIM DAS ACACIAS
GERALDO PEREIRA;JARDIM DAS ACACIAS
GERALDO PEREIRA;CONDOMINIO VILLE ROYALE
JARDIM DAS ACACIAS;PADRE HERCULANO
JARDIM DAS ACACIAS;FLORESTA
FLORESTA;JARDINOPOLIS
JARDINOPOLIS;SAO CRISTOVAO
JARDINOPOLIS;JARDIM ZONA SUL
JARDINOPOLIS;CHACARAS SHAROM
JARDINOPOLIS;CACOCO
CHACARAS SHAROM;CACOCO
CHACARAS SHAROM;CHACARAS BOM RETIRO
CHACARAS BOM RETIRO ;CACOCO
CACOCO;INHAME
BELA VISTA;MORADA NOVA
BELA VISTA;NOVA VISTA
BELA VISTA;BELVEDERE
MORADA NOVA;NOVA VISTA
MORADA NOVA;BELVEDERE
