ID,Bairro,Classificacao Predominante,Desvio Padrao Classificacao
1,AFONSO PENA,NAO FATAL,0.6722
2,ALTA VILLE,NAO FATAL,0.0
3,ALTEROSA,NAO FATAL,0.7071
4,ALTO DAS OLIVEIRAS,NAO FATAL,0.6667
5,ALTO SAO VICENTE,POSSIVEL FATAL,0.6928
6,ALVORADA,NAO FATAL,0.527
7,ANCHIETA,POSSIVEL FATAL,0.6847
8,ANTONIO FONSECA,NAO FATAL,0.6965
9,BELA VISTA,NAO FATAL,0.6909
10,BELO VALE,NAO FATAL,0.7042
11,BELVEDERE,POSSIVEL FATAL,0.7121
12,BOM PASTOR,NAO FATAL,0.6777
13,CACOCO,POSSIVEL FATAL,0.0
14,CAMPINA VERDE,NAO FATAL,0.6188
15,CASA NOVA,NAO FATAL,0.6555
17,CATALAO,NAO FATAL,0.7142
19,CHACARA NOVO HORIZONTE,NAO FATAL,0.0
21,CHACARAS BELO HORIZONTE,NAO FATAL,0.6782
24,CHACARAS CAMPO GRANDE,POSSIVEL FATAL,0.0
26,CHACARAS SANTA RITA,NAO FATAL,0.8
28,CHANADOUR,NAO FATAL,0.7027
29,CIDADE JARDIM,NAO FATAL,0.6717
31,CONDOMINIO VILLE ROYALE,NAO FATAL,0.7071
32,COSTA AZUL,NAO FATAL,0.6999
34,DANILO PASSOS,NAO FATAL,0.6955
35,DAVANUZE,NAO FATAL,0.7321
36,DEL REY,POSSIVEL FATAL,0.6793
38,DISTRITO INDUSTRIAL CEL JOVELINO RABELO,NAO FATAL,0.5657
40,DOM CRISTIANO,NAO FATAL,0.7536
41,DOM PEDRO II,NAO FATAL,0.6667
42,DONA QUITA,POSSIVEL FATAL,0.7448
43,DONA ROSA,NAO FATAL,0.7242
44,DOUTOR DULPHE PINTO DE AGUIAR,NAO FATAL,0.5455
45,DOUTOR JOSE TOMAZ,NAO FATAL,0.6389
46,ELDORADO,NAO FATAL,0.6928
47,ELIZABETH NOGUEIRA,POSSIVEL FATAL,0.6736
49,ESPIRITO SANTO,NAO FATAL,0.6982
50,ESPLANADA,NAO FATAL,0.7245
51,ESTANCIA GAFANHOTO,NAO FATAL,0.0
52,EXPOSICAO,POSSIVEL FATAL,0.7036
53,FABIO NOTINI,NAO FATAL,0.6667
55,FLORERMIDA,NAO FATAL,0.7145
57,FLORESTA,NAO FATAL,0.4066
58,FONTE BOA,NAO FATAL,0.7071
61,GERALDO PEREIRA,POSSIVEL FATAL,0.7706
62,GRAJAU,NAO FATAL,0.7071
63,GRANJAS DO SHEIK,NAO FATAL,0.7071
64,HALIM SOUKI,NAO FATAL,0.7112
65,HELENO RAMOS FREITAS,NAO FATAL,0.7071
66,ICARAI,NAO FATAL,0.7105
68,INTERLAGOS,NAO FATAL,0.6934
69,IPANEMA,NAO FATAL,0.0
70,IPIRANGA,NAO FATAL,0.7171
71,ITACOLOMI,POSSIVEL FATAL,0.6928
72,ITAI,POSSIVEL FATAL,0.768
73,JARDIM BETANIA,NAO FATAL,0.5879
74,JARDIM BRASILIA,NAO FATAL,0.0
75,JARDIM CANDELARIA,NAO FATAL,0.7354
76,JARDIM CAPITAO SILVA,NAO FATAL,0.7027
77,JARDIM COPACABANA,NAO FATAL,0.7244
78,JARDIM DAS ACACIAS,POSSIVEL FATAL,0.6736
79,JARDIM DAS MANSOES,POSSIVEL FATAL,0.7536
80,JARDIM DAS OLIVEIRAS,NAO FATAL,0.7071
81,JARDIM DOS CANDIDES,NAO FATAL,0.7104
82,JARDIM FLORAMAR,NAO FATAL,0.8
83,JARDIM NOVA AMERICA,NAO FATAL,0.7003
84,JARDIM PRIMAVERA,NAO FATAL,0.4949
85,JARDIM REAL,POSSIVEL FATAL,0.6667
86,JARDIM ZONA SUL,NAO FATAL,0.7071
87,JARDINOPOLIS,NAO FATAL,0.7009
89,JOAO PAULO II,NAO FATAL,0.7027
90,JOSE ANTONIO GONCALVES,POSSIVEL FATAL,0.6124
91,JUSA FONSECA,NAO FATAL,0.7187
92,JUSCELINO KUBISTCHEK,NAO FATAL,0.6667
