ID,Bairro,Escolaridade Predominante,Desvio Padrao Escolaridade
1,AFONSO PENA,ENSINO MEDIO COMPLETO  2o GRAU ,0.9018
2,ALTA VILLE,SUPERIOR COMPLETO,0.0
3,ALTEROSA,ENSINO MEDIO COMPLETO  2o GRAU ,0.8795
4,ALTO DAS OLIVEIRAS,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,0.8165
5,ALTO SAO VICENTE,ALFABETIZADO,0.8
6,ALVORADA,SUPERIOR COMPLETO,0.8958
7,ANCHIETA,ENSINO MEDIO COMPLETO  2o GRAU ,0.8101
8,ANTONIO FONSECA,SUPERIOR COMPLETO,0.9005
9,BELA VISTA,ENSINO MEDIO COMPLETO  2o GRAU ,0.9265
10,BELO VALE,ENSINO MEDIO COMPLETO  2o GRAU ,0.9045
11,BELVEDERE,ENSINO MEDIO COMPLETO  2o GRAU ,0.9007
12,BOM PASTOR,ENSINO MEDIO COMPLETO  2o GRAU ,0.9012
13,CACOCO,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,0.7071
14,CAMPINA VERDE,ENSINO MEDIO COMPLETO  2o GRAU ,0.9158
15,CASA NOVA,ENSINO MEDIO COMPLETO  2o GRAU ,0.8795
17,CATALAO,ENSINO MEDIO COMPLETO  2o GRAU ,0.907
19,CHACARA NOVO HORIZONTE,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,0.0
21,CHACARAS BELO HORIZONTE,ENSINO MEDIO COMPLETO  2o GRAU ,0.8718
24,CHACARAS CAMPO GRANDE,ENSINO MEDIO COMPLETO  2o GRAU ,0.0
26,CHACARAS SANTA RITA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,0.7483
28,CHANADOUR,ALFABETIZADO,0.9027
29,CIDADE JARDIM,ENSINO MEDIO COMPLETO  2o GRAU ,0.9025
31,CONDOMINIO VILLE ROYALE,ENSINO MEDIO COMPLETO  2o GRAU ,0.7071
32,COSTA AZUL,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,0.8864
34,DANILO PASSOS,ENSINO MEDIO COMPLETO  2o GRAU ,0.8942
35,DAVANUZE,ENSINO MEDIO COMPLETO  2o GRAU ,0.9139
36,DEL REY,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,0.9018
38,DISTRITO INDUSTRIAL CEL JOVELINO RABELO,ALFABETIZADO,0.8944
40,DOM CRISTIANO,ALFABETIZADO,0.8889
41,DOM PEDRO II,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,0.8165
42,DONA QUITA,ALFABETIZADO,0.857
43,DONA ROSA,ALFABETIZADO,0.8674
44,DOUTOR DULPHE PINTO DE AGUIAR,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,0.8431
45,DOUTOR JOSE TOMAZ,ENSINO MEDIO COMPLETO  2o GRAU ,0.8921
46,ELDORADO,ENSINO MEDIO COMPLETO  2o GRAU ,0.7483
47,ELIZABETH NOGUEIRA,ENSINO MEDIO INCOMPLETO   2o GRAU ,0.8889
49,ESPIRITO SANTO,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,0.9311
50,ESPLANADA,ENSINO MEDIO COMPLETO  2o GRAU ,0.9097
51,ESTANCIA GAFANHOTO,ENSINO MEDIO COMPLETO  2o GRAU ,0.0
52,EXPOSICAO,SUPERIOR INCOMPLETO,0.8916
53,FABIO NOTINI,ALFABETIZADO,0.9129
55,FLORERMIDA,ENSINO MEDIO COMPLETO  2o GRAU ,0.9285
57,FLORESTA,ENSINO MEDIO COMPLETO  2o GRAU ,0.668
58,FONTE BOA,ENSINO MEDIO COMPLETO  2o GRAU ,0.8944
61,GERALDO PEREIRA,ENSINO MEDIO COMPLETO  2o GRAU ,0.8478
62,GRAJAU,ENSINO MEDIO COMPLETO  2o GRAU ,0.8367
63,GRANJAS DO SHEIK,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,0.7071
64,HALIM SOUKI,ENSINO MEDIO COMPLETO  2o GRAU ,0.9046
65,HELENO RAMOS FREITAS,ENSINO MEDIO COMPLETO  2o GRAU ,0.8498
66,ICARAI,ENSINO MEDIO COMPLETO  2o GRAU ,0.8982
68,INTERLAGOS,ENSINO MEDIO COMPLETO  2o GRAU ,0.9228
69,IPANEMA,ALFABETIZADO,0.0
70,IPIRANGA,ENSINO MEDIO COMPLETO  2o GRAU ,0.898
71,ITACOLOMI,ENSINO MEDIO COMPLETO  2o GRAU ,0.7483
72,ITAI,ENSINO MEDIO COMPLETO  2o GRAU ,0.8702
73,JARDIM BETANIA,ENSINO MEDIO COMPLETO  2o GRAU ,0.9061
74,JARDIM BRASILIA,SUPERIOR COMPLETO,0.0
75,JARDIM CANDELARIA,ENSINO MEDIO COMPLETO  2o GRAU ,0.9114
76,JARDIM CAPITAO SILVA,SUPERIOR COMPLETO,0.8749
77,JARDIM COPACABANA,ALFABETIZADO,0.92
78,JARDIM DAS ACACIAS,ENSINO MEDIO COMPLETO  2o GRAU ,0.9079
79,JARDIM DAS MANSOES,ALFABETIZADO,0.9027
80,JARDIM DAS OLIVEIRAS,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,0.9167
81,JARDIM DOS CANDIDES,ENSINO MEDIO COMPLETO  2o GRAU ,0.9173
82,JARDIM FLORAMAR,SUPERIOR COMPLETO,0.5657
83,JARDIM NOVA AMERICA,SUPERIOR COMPLETO,0.8886
84,JARDIM PRIMAVERA,SUPERIOR COMPLETO,0.9035
85,JARDIM REAL,ENSINO MEDIO COMPLETO  2o GRAU ,0.7071
86,JARDIM ZONA SUL,ENSINO MEDIO INCOMPLETO   2o GRAU ,0.8819
87,JARDINOPOLIS,ENSINO MEDIO COMPLETO  2o GRAU ,0.9212
89,JOAO PAULO II,ENSINO MEDIO COMPLETO  2o GRAU ,0.8315
90,JOSE ANTONIO GONCALVES,ENSINO MEDIO COMPLETO  2o GRAU ,0.7906
91,JUSA FONSECA,ENSINO MEDIO COMPLETO  2o GRAU ,0.9142
92,JUSCELINO KUBISTCHEK,SUPERIOR COMPLETO,0.0
94,LAGOA DOS MANDARINS,ENSINO MEDIO COMPLETO  2o GRAU ,0.9181
95,LAGOA PARK,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,0.0
96,LEVINDO DE PAULA PEREIRA,ENSINO MEDIO COMPLETO  2o GRAU ,0.9016
97,LIBERDADE,SUPERIOR COMPLETO,0.8607
98,MANGABEIRAS,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,0.9097
99,MANOEL VALINHAS,ENSINO MEDIO COMPLETO  2o GRAU ,0.8911
100,MAR E TERRA,ENSINO MEDIO COMPLETO  2o GRAU ,0.7906
101,MARAJO,ENSINO MEDIO COMPLETO  2o GRAU ,0.8624
102,MARIA HELENA,ALFABETIZADO,0.9079
103,MARIA PECANHA,ALFABETIZADO,0.9012
104,MARISA PARDINI,ENSINO MEDIO INCOMPLETO   2o GRAU ,0.7071
105,MORADA NOVA,ENSINO MEDIO COMPLETO  2o GRAU ,0.889
106,MORUMBI,ALFABETIZADO,0.7994
107,NACOES,ENSINO MEDIO COMPLETO  2o GRAU ,0.907
108,NILDA BARROS,ENSINO MEDIO COMPLETO  2o GRAU ,0.8987
109,NITEROI,ENSINO MEDIO COMPLETO  2o GRAU ,0.911
110,NOSSA SENHORA DA CONCEICAO,ENSINO MEDIO COMPLETO  2o GRAU ,0.767
111,NOSSA SENHORA DAS GRACAS,ENSINO MEDIO COMPLETO  2o GRAU ,0.9062
112,NOSSA SENHORA DE LOURDES,ALFABETIZADO,0.0
113,NOVA FORTALEZA,ENSINO MEDIO COMPLETO  2o GRAU ,0.9177
114,NOVA HOLANDA,ENSINO MEDIO COMPLETO  2o GRAU ,0.9053
115,NOVA SUICA,ENSINO MEDIO INCOMPLETO   2o GRAU ,0.8165
118,NOVO PARAISO,ALFABETIZADO,0.8571
120,ORION,ENSINO MEDIO COMPLETO  2o GRAU ,0.8928
121,OSWALDO MACHADO GONTIJO,ALFABETIZADO,0.8462
122,PADRE EUSTAQUIO,ENSINO MEDIO COMPLETO  2o GRAU ,0.8998
123,PADRE HERCULANO,ENSINO MEDIO COMPLETO  2o GRAU ,0.833
124,PADRE LIBERIO,ENSINO MEDIO COMPLETO  2o GRAU ,0.8778
125,PARAISO,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,0.9165
126,PLANALTO,SUPERIOR COMPLETO,0.9117
127,PONTE FUNDA,ENSINO MEDIO COMPLETO  2o GRAU ,0.9159
128,PORTO VELHO,ENSINO MEDIO COMPLETO  2o GRAU ,0.9142
129,PRIMAVERA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,0.8806
130,PROGRESSO,ENSINO MEDIO COMPLETO  2o GRAU ,0.0
131,QUINTA DAS PALMEIRAS,ALFABETIZADO,0.8165
132,QUINTINO,ENSINO MEDIO COMPLETO  2o GRAU ,0.8794
133,RANCHO ALEGRE,ENSINO MEDIO COMPLETO  2o GRAU ,0.8391
134,REALENGO,ENSINO MEDIO COMPLETO  2o GRAU ,0.9102
136,SAGRADA FAMILIA,ENSINO MEDIO COMPLETO  2o GRAU ,0.9036
137,SANTA CLARA,ENSINO MEDIO COMPLETO  2o GRAU ,0.8853
138,SANTA CRUZ,ENSINO MEDIO COMPLETO  2o GRAU ,0.8605
139,SANTA LUCIA,ENSINO MEDIO COMPLETO  2o GRAU ,0.9139
140,SANTA LUZIA,ENSINO MEDIO COMPLETO  2o GRAU ,0.8788
141,SANTA MARTHA,ENSINO MEDIO COMPLETO  2o GRAU ,0.8806
142,SANTA ROSA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,0.9232
143,SANTA TEREZA,SUPERIOR COMPLETO,0.924
144,SANTO ANDRE,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,0.8749
145,SANTO ANTONIO,SUPERIOR COMPLETO,0.9238
146,SANTO ANTONIO DOS CAMPOS,ENSINO MEDIO COMPLETO  2o GRAU ,0.0
147,SANTOS DUMONT,ALFABETIZADO,0.9261
148,SAO BENTO,ALFABETIZADO,0.7071
149,SAO CAETANO,SUPERIOR COMPLETO,0.8101
150,SAO CRISTOVAO,ENSINO MEDIO COMPLETO  2o GRAU ,0.0
151,SAO DOMINGOS,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,0.8315
152,SAO FREI GALVAO,ENSINO MEDIO COMPLETO  2o GRAU ,0.8749
153,SAO GERALDO,SUPERIOR INCOMPLETO,0.8607
154,SAO JOAO DE DEUS,ENSINO MEDIO COMPLETO  2o GRAU ,0.9165
155,SAO JOSE,ENSINO MEDIO COMPLETO  2o GRAU ,0.9036
156,SAO JUDAS TADEU,ENSINO MEDIO COMPLETO  2o GRAU ,0.9191
157,SAO LUCAS,ENSINO MEDIO COMPLETO  2o GRAU ,0.9052
158,SAO LUIZ,ENSINO MEDIO COMPLETO  2o GRAU ,0.9092
159,SAO MIGUEL,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,0.9043
160,SAO PAULO,ENSINO MEDIO INCOMPLETO   2o GRAU ,0.0
162,SAO SEBASTIAO,ENSINO MEDIO COMPLETO  2o GRAU ,0.8733
163,SAO SIMAO,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,0.9138
164,SAVASSI,ENSINO MEDIO COMPLETO  2o GRAU ,0.7825
165,SERRA VERDE,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,0.8607
166,SION,ENSINO MEDIO COMPLETO  2o GRAU ,0.8985
167,TERRA AZUL,ALFABETIZADO,0.9181
168,TIETE,ENSINO MEDIO COMPLETO  2o GRAU ,0.8948
170,UNIVERSITARIO,SUPERIOR COMPLETO,0.8485
171,VALE DO SOL,ENSINO MEDIO COMPLETO  2o GRAU ,0.8882
172,VILA BELO HORIZONTE,ENSINO MEDIO COMPLETO  2o GRAU ,0.8886
175,VILA CRUZEIRO,SUPERIOR COMPLETO,0.8635
177,VILA DAS ROSEIRAS,ENSINO MEDIO COMPLETO  2o GRAU ,0.9215
181,VILA ROMANA,ENSINO MEDIO COMPLETO  2o GRAU ,0.911
182,VILA ROSEIRAS,ENSINO MEDIO INCOMPLETO   2o GRAU ,0.7071
183,VILA SANTO ANDRE,ENSINO MEDIO COMPLETO  2o GRAU ,0.8498
184,VISTA ALEGRE,ALFABETIZADO,0.9027
