ID,Bairro,Classificacao,Tipo,N de casos Total,N de casos Fatais,N de bairros Divisa,Media Idade,Cor Predominante,Escolaridade Predominante
0,AEROPORTO,Bairro,2,0,0,8,-1.0,DESCONHECIDO,DESCONHECIDO
1,AFONSO PENA,Bairro,2,58,0,9,40.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
2,ALTA VILLE,Bairro,2,2,0,2,51.0,BRANCA,SUPERIOR COMPLETO
3,ALTEROSA,Bairro,2,16,0,5,43.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
4,ALTO DAS OLIVEIRAS,Bairro,2,3,0,1,33.0,PARDA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO 
5,ALTO SAO VICENTE,Bairro,2,5,0,4,34.0,BRANCA,ALFABETIZADO
6,ALVORADA,Bairro,2,18,0,5,47.0,BRANCA,SUPERIOR COMPLETO
7,ANCHIETA,Bairro,2,8,0,3,34.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
8,ANTONIO FONSECA,Bairro,2,29,0,6,44.0,PARDA,SUPERIOR COMPLETO
9,BELA VISTA,Bairro,2,61,0,5,38.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
10,BELO VALE,Bairro,2,22,0,1,42.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
11,BELVEDERE,Bairro,2,216,2,9,33.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
12,BOM PASTOR,Bairro,2,132,1,12,40.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
13,CACOCO,Bairro,2,2,0,4,70.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
14,CAMPINA VERDE,Bairro,2,31,0,3,40.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
15,CASA NOVA,Bairro,2,16,0,3,29.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
16,CASTELO,Bairro,2,0,0,5,-1.0,DESCONHECIDO,DESCONHECIDO
17,CATALAO,Bairro,2,144,2,6,42.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
18,CENTRO,Bairro,2,747,2,10,42.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
19,CHACARA NOVO HORIZONTE,Bairro,2,1,0,1,57.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
20,CHACARAS BEIRA RIO,Bairro,2,0,0,1,-1.0,DESCONHECIDO,DESCONHECIDO
21,CHACARAS BELO HORIZONTE,Bairro,2,10,1,1,54.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
22,CHACARAS BOM RETIRO,Bairro,2,0,0,1,-1.0,DESCONHECIDO,DESCONHECIDO
