ID,Bairro,Idade Aparente,Raca Cor,Escolaridade,Classificacao,Tipo,N de casos Total,N de casos Fatais,N de bairros Divisa,Media Idade,Cor Predominante,Escolaridade Predominante
0,AEROPORTO,,,,Bairro,2,0.0,0.0,8.0,-1.0,DESCONHECIDO,DESCONHECIDO
1,AFONSO PENA,,,,Bairro,2,0.07764390896921017,0.0,9.0,40.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
2,ALTA VILLE,,,,Bairro,2,0.002677376171352075,0.0,2.0,51.0,BRANCA,SUPERIOR COMPLETO
3,ALTEROSA,,,,Bairro,2,0.0214190093708166,0.0,5.0,43.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
4,ALTO DAS OLIVEIRAS,,,,Bairro,2,0.004016064257028112,0.0,1.0,33.0,PARDA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO 
5,ALTO SAO VICENTE,,,,Bairro,2,0.006693440428380187,0.0,4.0,34.0,BRANCA,ALFABETIZADO
6,ALVORADA,,,,Bairro,2,0.024096385542168676,0.0,5.0,47.0,BRANCA,SUPERIOR COMPLETO
7,ANCHIETA,,,,Bairro,2,0.0107095046854083,0.0,3.0,34.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
8,ANTONIO FONSECA,,,,Bairro,2,0.038821954484605084,0.0,6.0,44.0,PARDA,SUPERIOR COMPLETO
9,BELA VISTA,,,,Bairro,2,0.08165997322623829,0.0,5.0,38.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
10,BELO VALE,,,,Bairro,2,0.029451137884872823,0.0,1.0,42.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
11,BELVEDERE,,,,Bairro,2,0.2891566265060241,2.0,9.0,33.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
12,BOM PASTOR,,,,Bairro,2,0.17670682730923695,1.0,12.0,40.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
13,CACOCO,,,,Bairro,2,0.002677376171352075,0.0,4.0,70.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
14,CAMPINA VERDE,,,,Bairro,2,0.041499330655957165,0.0,3.0,40.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
15,CASA NOVA,,,,Bairro,2,0.0214190093708166,0.0,3.0,29.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
16,CASTELO,,,,Bairro,2,0.0,0.0,5.0,-1.0,DESCONHECIDO,DESCONHECIDO
17,CATALAO,,,,Bairro,2,0.1927710843373494,2.0,6.0,42.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
18,CENTRO,,,,Bairro,2,1.0,2.0,10.0,42.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
19,CHACARA NOVO HORIZONTE,,,,Bairro,2,0.0013386880856760374,0.0,1.0,57.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
20,CHACARAS BEIRA RIO,,,,Bairro,2,0.0,0.0,1.0,-1.0,DESCONHECIDO,DESCONHECIDO
21,CHACARAS BELO HORIZONTE,,,,Bairro,2,0.013386880856760375,1.0,1.0,54.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
22,CHACARAS BOM RETIRO,,,,Bairro,2,0.0,0.0,1.0,-1.0,DESCONHECIDO,DESCONHECIDO
23,CHACARAS BOM RETIRO ,,,,Bairro,2,0.0,0.0,1.0,-1.0,DESCONHECIDO,DESCONHECIDO
24,CHACARAS CAMPO GRANDE,,,,Bairro,2,0.0013386880856760374,0.0,1.0,35.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
25,CHACARAS DE SANTA MONICA,,,,Bairro,2,0.0,0.0,0.0,-1.0,DESCONHECIDO,DESCONHECIDO
26,CHACARAS SANTA RITA,,,,Bairro,2,0.006693440428380187,1.0,4.0,35.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
