ID,Bairro,Casos,Media Casos Vizinhos,Desvio Casos Vizinhos,Diferenca Percentual
0,AEROPORTO,0.0,24.625,13.918849629189907,-99.99999593908645
1,AFONSO PENA,58.0,119.88888888888889,225.19939039015793,-51.62187167321887
2,ALTA VILLE,2.0,33.5,32.5,-94.02984793940753
3,ALTEROSA,16.0,53.8,82.70525980855147,-70.26022174237507
4,ALTO DAS OLIVEIRAS,3.0,9.0,0.0,-66.66665925926009
5,ALTO SAO VICENTE,5.0,39.75,22.796655456447994,-87.42138144851872
6,ALVORADA,18.0,35.2,48.499072156073254,-48.863634975464926
7,ANCHIETA,8.0,22.333333333333332,18.856180831641268,-64.17910160392081
8,ANTONIO FONSECA,29.0,81.16666666666667,53.017030806671514,-64.27104643608568
9,BELA VISTA,61.0,89.2,70.88977359252885,-31.614349421363798
10,BELO VALE,22.0,26.0,0.0,-15.38461479289943
11,BELVEDERE,216.0,40.0,33.079029946814074,439.99998900000026
12,BOM PASTOR,132.0,24.0,20.587212859766456,449.99998125000076
13,CACOCO,2.0,20.75,35.94005425705421,-90.36144142836426
14,CAMPINA VERDE,31.0,9.0,4.96655480858378,244.44441728395367
15,CASA NOVA,16.0,22.0,12.027745701779143,-27.272726033057904
16,CASTELO,0.0,15.0,15.323185047502363,-99.99999333333378
17,CATALAO,144.0,51.833333333333336,29.36220170370214,177.81350139266553
18,CENTRO,747.0,60.7,56.21574512536501,1130.6424854918864
19,CHACARA NOVO HORIZONTE,1.0,10.0,0.0,-89.99999100000092
20,CHACARAS BEIRA RIO,0.0,6.0,0.0,-99.9999833333361
21,CHACARAS BELO HORIZONTE,10.0,1.0,0.0,899.9991000009001
22,CHACARAS BOM RETIRO,0.0,0.0,0.0,0.0
23,CHACARAS BOM RETIRO ,0.0,2.0,0.0,-99.999950000025
24,CHACARAS CAMPO GRANDE,1.0,2.0,0.0,-49.9999750000125
25,CHACARAS DE SANTA MONICA,0.0,0.0,0.0,0.0
26,CHACARAS SANTA RITA,5.0,25.75,5.931905258852336,-80.58252114242636
27,CHACARAS SHAROM,0.0,28.333333333333332,38.663792996664064,-99.99999647058836
28,CHANADOUR,9.0,38.0,65.92756968404375,-76.31578746537402
29,CIDADE JARDIM,32.0,22.666666666666668,13.424687043734847,41.17646877162637
30,CONDOMINIO DO RECANTO DAS AGUAS,0.0,0.0,0.0,0.0
31,CONDOMINIO VILLE ROYALE,2.0,4.5,4.031128874149275,-55.55554320987929
32,COSTA AZUL,14.0,19.5,13.5,-28.205126758711447
33,DA LUZ,0.0,45.0,31.0,-99.99999777777784
34,DANILO PASSOS,83.0,32.333333333333336,32.04510709747884,156.70102608141156
35,DAVANUZE,38.0,51.666666666666664,21.55355088043628,-26.45161239125911
36,DEL REY,36.0,7.0,0.0,414.28565510204925
37,DISTRITO INDUSTRIAL,0.0,12.2,16.70209567689037,-99.99999180327936
38,DISTRITO INDUSTRIAL CEL JOVELINO RABELO,5.0,49.333333333333336,33.229839334884275,-89.86486304327981
39,DO CARMO,0.0,54.666666666666664,35.235714205271265,-99.99999817073174
40,DOM CRISTIANO,9.0,21.0,14.230249470757707,-57.14285442176883
41,DOM PEDRO II,3.0,90.0,36.64014192112252,-96.66666559259261
42,DONA QUITA,16.0,62.666666666666664,31.478387647541428,-74.46808391806249
43,DONA ROSA,37.0,47.42857142857143,29.75546597017161,-21.987951343627536
44,DOUTOR DULPHE PINTO DE AGUIAR,11.0,39.5,2.5,-72.15189690754691
45,DOUTOR JOSE TOMAZ,14.0,38.0,38.0,-63.15789307479229
46,ELDORADO,5.0,21.666666666666668,17.55625877635159,-76.92307337278123
47,ELIZABETH NOGUEIRA,23.0,13.0,14.352700094407323,76.92307100591762
48,ERMINOPOLIS,0.0,12.0,14.182484166846693,-99.99999166666737
49,ESPIRITO SANTO,38.0,35.0,25.758493744782516,8.57142832653062
50,ESPLANADA,76.0,157.625,230.60026967677206,-51.784297847522296
51,ESTANCIA GAFANHOTO,1.0,4.0,4.0,-74.9999812500047
52,EXPOSICAO,20.0,32.0,24.535688292770594,-37.499998828125044
53,FABIO NOTINI,6.0,34.0,3.0,-82.35293875432534
54,FAZENDA DA UZINA,0.0,4.666666666666667,2.8674417556808756,-99.99997857143316
55,FLORERMIDA,43.0,2.25,3.897114317029974,1811.1103061731972
56,FLORERMIDA ,0.0,0.5,0.5,-99.9998000004
57,FLORESTA,11.0,53.0,30.0,-79.24528152367394
58,FONTE BOA,10.0,25.333333333333332,13.912424503139471,-60.5263134002771
59,FRANCISCO MACHADO FILHO,0.0,103.0,27.0,-99.99999902912623
60,GARCIA LEAO,0.0,31.0,20.314198646923455,-99.99999677419365
61,GERALDO PEREIRA,8.0,22.75,26.54595072699413,-64.8351619852676
62,GRAJAU,10.0,31.0,32.03903868720159,-67.74193329864731
63,GRANJAS DO SHEIK,2.0,17.75,18.779976038323372,-88.73238936718933
64,HALIM SOUKI,32.0,31.166666666666668,25.33388157301513,2.6737967056535776
65,HELENO RAMOS FREITAS,6.0,22.0,15.0,-72.72726942148775
66,ICARAI,58.0,11.666666666666666,7.408703590297622,397.1428231020438
67,INHAME,0.0,2.0,0.0,-99.999950000025
68,INTERLAGOS,130.0,63.111111111111114,43.590122337888644,105.98591381360347
69,IPANEMA,1.0,28.0,28.906746617355612,-96.428567984694
70,IPIRANGA,87.0,20.625,19.176401513318392,321.8181662148768
71,ITACOLOMI,5.0,22.0,22.0,-77.27272376033073
72,ITAI,27.0,82.33333333333333,56.45253660278596,-67.20647691652051
73,JARDIM BETANIA,18.0,21.0,0.0,-14.285713605442208
74,JARDIM BRASILIA,1.0,45.0,25.16942589730644,-97.77777560493833
75,JARDIM CANDELARIA,43.0,12.0,7.176350047203662,258.3333118055574
76,JARDIM CAPITAO SILVA,9.0,93.0909090909091,208.75233457396985,-90.3320302796364
77,JARDIM COPACABANA,50.0,2.5,0.5,1899.9992400003039
78,JARDIM DAS ACACIAS,23.0,9.4,6.829348431585549,144.6808356722515
79,JARDIM DAS MANSOES,9.0,21.0,0.0,-57.14285442176883
80,JARDIM DAS OLIVEIRAS,24.0,48.5,50.112373721467236,-50.51546287596984
81,JARDIM DOS CANDIDES,85.0,5.25,3.191786333700926,1519.0473297052704
82,JARDIM FLORAMAR,5.0,45.0,40.0,-88.88888691358031
83,JARDIM NOVA AMERICA,65.0,24.0,24.097026095903757,170.83332621527808
84,JARDIM PRIMAVERA,14.0,5.4,6.7111846942250075,159.25922976680928
85,JARDIM REAL,6.0,6.0,0.0,0.0
86,JARDIM ZONA SUL,6.0,83.0,0.0,-92.77108321962551
87,JARDINOPOLIS,83.0,4.0,4.049691346263317,1974.9995062501234
88,JARDM DAS OLIVEIRAS,0.0,7.0,0.0,-99.99998571428776
89,JOAO PAULO II,9.0,8.25,3.960744879438715,9.09090798898085
90,JOSE ANTONIO GONCALVES,4.0,43.5,22.5,-90.80459561368747
91,JUSA FONSECA,44.0,16.6,14.759403781996074,165.060231020468
92,JUSCELINO KUBISTCHEK,3.0,18.5,18.607794065928395,-83.78377925493085
93,JUSSARA,0.0,92.0,88.42322470180935,-99.9999989130435
94,LAGOA DOS MANDARINS,22.0,31.5,26.5,-30.15872920131018
95,LAGOA PARK,1.0,66.0,0.0,-98.48484699265384
96,LEVINDO DE PAULA PEREIRA,25.0,31.0,39.6316371938716,-19.354838085327803
97,LIBERDADE,9.0,40.6,46.05475002646307,-77.83251039821404
98,MANGABEIRAS,44.0,70.66666666666667,44.4547210341289,-37.73584852260593
99,MANOEL VALINHAS,76.0,21.5,27.110883423451916,253.48836030286694
100,MAR E TERRA,4.0,35.333333333333336,25.289435651187546,-88.67924277322898
101,MARAJO,21.0,18.428571428571427,20.8864764371395,13.953487614927038
