ID,Bairro,Classificacao,Tipo,N de casos Total,N de casos Fatais,N de bairros Divisa
1,AFONSO PENA,Bairro,2,58,0,9
2,ALTA VILLE,Bairro,2,2,0,2
3,ALTEROSA,Bairro,2,16,0,5
4,ALTO DAS OLIVEIRAS,Bairro,2,3,0,1
5,ALTO SAO VICENTE,Bairro,2,5,0,4
6,ALVORADA,Bairro,2,18,0,5
7,ANCHIETA,Bairro,2,8,0,3
8,ANTONIO FONSECA,Bairro,2,29,0,6
9,BELA VISTA,Bairro,2,61,0,5
10,BELO VALE,Bairro,2,22,0,1
12,BOM PASTOR,Bairro,2,132,1,12
13,CACOCO,Bairro,2,2,0,4
14,CAMPINA VERDE,Bairro,2,31,0,3
15,CASA NOVA,Bairro,2,16,0,3
17,CATALAO,Bairro,2,144,2,6
19,CHACARA NOVO HORIZONTE,Bairro,2,1,0,1
21,CHACARAS BELO HORIZONTE,Bairro,2,10,1,1
24,CHACARAS CAMPO GRANDE,Bairro,2,1,0,1
26,CHACARAS SANTA RITA,Bairro,2,5,1,4
28,CHANADOUR,Bairro,2,9,0,9
29,CIDADE JARDIM,Bairro,2,32,0,3
31,CONDOMINIO VILLE ROYALE,Bairro,2,2,0,4
32,COSTA AZUL,Bairro,2,14,0,2
34,DANILO PASSOS,Bairro,2,83,0,3
35,DAVANUZE,Bairro,2,38,2,6
36,DEL REY,Bairro,2,36,3,1
38,DISTRITO INDUSTRIAL CEL JOVELINO RABELO,Bairro,2,5,0,3
40,DOM CRISTIANO,Bairro,2,9,1,4
41,DOM PEDRO II,Bairro,2,3,0,4
42,DONA QUITA,Bairro,2,16,1,3
43,DONA ROSA,Bairro,2,37,1,7
44,DOUTOR DULPHE PINTO DE AGUIAR,Bairro,2,11,0,2
45,DOUTOR JOSE TOMAZ,Bairro,2,14,0,2
46,ELDORADO,Bairro,2,5,0,3
47,ELIZABETH NOGUEIRA,Bairro,2,23,0,3
49,ESPIRITO SANTO,Bairro,2,38,0,4
50,ESPLANADA,Bairro,2,76,2,8
51,ESTANCIA GAFANHOTO,Bairro,2,1,0,2
52,EXPOSICAO,Bairro,2,20,0,3
53,FABIO NOTINI,Bairro,2,6,0,2
55,FLORERMIDA,Bairro,2,43,2,4
57,FLORESTA,Bairro,2,11,0,2
58,FONTE BOA,Bairro,2,10,0,3
61,GERALDO PEREIRA,Bairro,2,8,1,4
62,GRAJAU,Bairro,2,10,0,4
63,GRANJAS DO SHEIK,Bairro,2,2,0,4
64,HALIM SOUKI,Bairro,2,32,1,6
65,HELENO RAMOS FREITAS,Bairro,2,6,0,2
66,ICARAI,Bairro,2,58,1,3
68,INTERLAGOS,Bairro,2,130,2,9
69,IPANEMA,Bairro,2,1,0,5
70,IPIRANGA,Bairro,2,87,2,8
71,ITACOLOMI,Bairro,2,5,0,2
72,ITAI,Bairro,2,27,3,3
73,JARDIM BETANIA,Bairro,2,18,0,1
74,JARDIM BRASILIA,Bairro,2,1,0,4
75,JARDIM CANDELARIA,Bairro,2,43,2,4
76,JARDIM CAPITAO SILVA,Bairro,2,9,0,11
77,JARDIM COPACABANA,Bairro,2,50,2,2
78,JARDIM DAS ACACIAS,Bairro,2,23,0,5
79,JARDIM DAS MANSOES,Bairro,2,9,1,1
80,JARDIM DAS OLIVEIRAS,Bairro,2,24,0,4
81,JARDIM DOS CANDIDES,Bairro,2,85,1,4
82,JARDIM FLORAMAR,Bairro,2,5,1,2
83,JARDIM NOVA AMERICA,Bairro,2,65,0,3
84,JARDIM PRIMAVERA,Bairro,2,14,0,5
