ID,Bairro
0,AEROPORTO
1,AFONSO PENA
2,ALTA VILLE
3,ALTEROSA
4,ALTO DAS OLIVEIRAS
5,ALTO SAO VICENTE
6,ALVORADA
7,ANCHIETA
8,ANTONIO FONSECA
9,BELA VISTA
10,BELO VALE
11,BELVEDERE
12,BOM PASTOR
13,CACOCO
14,CAMPINA VERDE
15,CASA NOVA
16,CASTELO
17,CATALAO
18,CENTRO
19,CHACARA NOVO HORIZONTE
20,CHACARAS BEIRA RIO
21,CHACARAS BELO HORIZONTE
22,CHACARAS BOM RETIRO
23,CHACARAS BOM RETIRO 
24,CHACARAS CAMPO GRANDE
25,CHACARAS DE SANTA MONICA
26,CHACARAS SANTA RITA
27,CHACARAS SHAROM
28,CHANADOUR
29,CIDADE JARDIM
30,CONDOMINIO DO RECANTO DAS AGUAS
31,CONDOMINIO VILLE ROYALE
32,COSTA AZUL
33,DA LUZ
34,DANILO PASSOS
35,DAVANUZE
36,DEL REY
37,DISTRITO INDUSTRIAL
38,DISTRITO INDUSTRIAL CEL JOVELINO RABELO
39,DO CARMO
40,DOM CRISTIANO
41,DOM PEDRO II
42,DONA QUITA
43,DONA ROSA
44,DOUTOR DULPHE PINTO DE AGUIAR
45,DOUTOR JOSE TOMAZ
46,ELDORADO
47,ELIZABETH NOGUEIRA
48,ERMINOPOLIS
49,ESPIRITO SANTO
50,ESPLANADA
51,ESTANCIA GAFANHOTO
52,EXPOSICAO
53,FABIO NOTINI
54,FAZENDA DA UZINA
55,FLORERMIDA
56,FLORERMIDA 
57,FLORESTA
58,FONTE BOA
59,FRANCISCO MACHADO FILHO
60,GARCIA LEAO
61,GERALDO PEREIRA
62,GRAJAU
63,GRANJAS DO SHEIK
64,HALIM SOUKI
65,HELENO RAMOS FREITAS
66,ICARAI
67,INHAME
68,INTERLAGOS
69,IPANEMA
70,IPIRANGA
71,ITACOLOMI
72,ITAI
73,JARDIM BETANIA
74,JARDIM BRASILIA
75,JARDIM CANDELARIA
76,JARDIM CAPITAO SILVA
77,JARDIM COPACABANA
78,JARDIM DAS ACACIAS
79,JARDIM DAS MANSOES
80,JARDIM DAS OLIVEIRAS
81,JARDIM DOS CANDIDES
82,JARDIM FLORAMAR
83,JARDIM NOVA AMERICA
84,JARDIM PRIMAVERA
85,JARDIM REAL
86,JARDIM ZONA SUL
87,JARDINOPOLIS
88,JARDM DAS OLIVEIRAS
89,JOAO PAULO II
90,JOSE ANTONIO GONCALVES
91,JUSA FONSECA
92,JUSCELINO KUBISTCHEK
93,JUSSARA
94,LAGOA DOS MANDARINS
95,LAGOA PARK
96,LEVINDO DE PAULA PEREIRA
97,LIBERDADE
98,MANGABEIRAS
99,MANOEL VALINHAS
100,MAR E TERRA
101,MARAJO
102,MARIA HELENA
103,MARIA PECANHA
104,MARISA PARDINI
105,MORADA NOVA
106,MORUMBI
107,NACOES
108,NILDA BARROS
109,NITEROI
110,NOSSA SENHORA DA CONCEICAO
111,NOSSA SENHORA DAS GRACAS
112,NOSSA SENHORA DE LOURDES
113,NOVA FORTALEZA
114,NOVA HOLANDA
115,NOVA SUICA
116,NOVA VISTA
117,NOVA VISTA 
118,NOVO PARAISO
119,OLIVEIRAS
120,ORION
121,OSWALDO MACHADO GONTIJO
122,PADRE EUSTAQUIO
123,PADRE HERCULANO
124,PADRE LIBERIO
125,PARAISO
126,PLANALTO
127,PONTE FUNDA
128,PORTO VELHO
129,PRIMAVERA
130,PROGRESSO
131,QUINTA DAS PALMEIRAS
132,QUINTINO
133,RANCHO ALEGRE
134,REALENGO
135,RESIDENCIAL ALTO DAS OLIVEIRAS
136,SAGRADA FAMILIA
137,SANTA CLARA
138,SANTA CRUZ
139,SANTA LUCIA
140,SANTA LUZIA
141,SANTA MARTHA
142,SANTA ROSA
143,SANTA TEREZA
144,SANTO ANDRE
145,SANTO ANTONIO
146,SANTO ANTONIO DOS CAMPOS
147,SANTOS DUMONT
148,SAO BENTO
149,SAO CAETANO
150,SAO CRISTOVAO
151,SAO DOMINGOS
152,SAO FREI GALVAO
153,SAO GERALDO
154,SAO JOAO DE DEUS
155,SAO JOSE
156,SAO JUDAS TADEU
157,SAO LUCAS
158,SAO LUIZ
159,SAO MIGUEL
160,SAO PAULO
161,SAO ROQUE
162,SAO SEBASTIAO
163,SAO SIMAO
164,SAVASSI
165,SERRA VERDE
166,SION
167,TERRA AZUL
168,TIETE
169,TOTONHO CARVALHO
170,UNIVERSITARIO
171,VALE DO SOL
172,VILA BELO HORIZONTE
173,VILA CASTELO
174,VILA CENTRAL DO DIVINO
175,VILA CRUZEIRO
176,VILA DAS OLIVEIRAS
177,VILA DAS ROSEIRAS
178,VILA MINAS GERAIS
179,VILA RICA
180,VILA RICA 
181,VILA ROMANA
182,VILA ROSEIRAS
183,VILA SANTO ANDRE
184,VISTA ALEGRE
185,VIVENDAS DA EXPOSICAO
186,WALCHIR RESENDE
187,XAVANTE
188,YANES
