ID,Bairro,Closeness
0,AEROPORTO,0.07469279054844874
1,AFONSO PENA,0.11787655918473713
2,ALTA VILLE,0.05863196323766681
3,ALTEROSA,0.08364693722140457
4,ALTO DAS OLIVEIRAS,0.06436395842780605
5,ALTO SAO VICENTE,0.09799058097191206
6,ALVORADA,0.08679615974276286
7,ANCHIETA,0.06447099049283261
8,ANTONIO FONSECA,0.11283678663996645
9,BELA VISTA,0.08838754808727424
10,BELO VALE,0.06788629303743665
11,BELVEDERE,0.09182857653062389
12,BOM PASTOR,0.10160017015767843
13,CACOCO,0.05045833244884757
14,CAMPINA VERDE,0.06629385410341461
15,CASA NOVA,0.058552144347868235
16,CASTELO,0.0883194856765804
17,CATALAO,0.11493813562495225
18,CENTRO,0.13316498524899528
19,CHACARA NOVO HORIZONTE,0.0007611436182864754
20,CHACARAS BEIRA RIO,0.052544589498959314
21,CHACARAS BELO HORIZONTE,0.0016745159602302461
22,CHACARAS BOM RETIRO,0.045745656857427444
23,CHACARAS BOM RETIRO ,0.045747937677945515
24,CHACARAS CAMPO GRANDE,0.05236865114399828
25,CHACARAS DE SANTA MONICA,0.0
26,CHACARAS SANTA RITA,0.05857207868929231
27,CHACARAS SHAROM,0.050455557776999435
28,CHANADOUR,0.09162683609886098
29,CIDADE JARDIM,0.09472962385855811
30,CONDOMINIO DO RECANTO DAS AGUAS,0.0
31,CONDOMINIO VILLE ROYALE,0.0884130985444203
32,COSTA AZUL,0.06339889930632413
33,DA LUZ,0.06531852807370277
34,DANILO PASSOS,0.0754461671942437
35,DAVANUZE,0.07533879109072944
36,DEL REY,0.05568340433875433
37,DISTRITO INDUSTRIAL,0.004613640327926042
38,DISTRITO INDUSTRIAL CEL JOVELINO RABELO,0.04963671036645235
39,DO CARMO,0.0686584208840163
40,DOM CRISTIANO,0.0737166495295247
41,DOM PEDRO II,0.11136680867750866
42,DONA QUITA,0.07503893929291447
43,DONA ROSA,0.06740916885225864
44,DOUTOR DULPHE PINTO DE AGUIAR,0.0787034570430874
45,DOUTOR JOSE TOMAZ,0.06534023476267521
46,ELDORADO,0.06548012298591706
47,ELIZABETH NOGUEIRA,0.06502228492658339
48,ERMINOPOLIS,0.005468018166430865
49,ESPIRITO SANTO,0.08350990261761973
50,ESPLANADA,0.13040806377117592
51,ESTANCIA GAFANHOTO,0.05232882934589247
52,EXPOSICAO,0.08349217173957298
53,FABIO NOTINI,0.0761895820554674
54,FAZENDA DA UZINA,0.05817718292469579
55,FLORERMIDA,0.005812460255654857
56,FLORERMIDA ,0.0033102352128617342
57,FLORESTA,0.06324013623916147
58,FONTE BOA,0.07369888648144529
59,FRANCISCO MACHADO FILHO,0.1078583680138702
60,GARCIA LEAO,0.10072648602466268
61,GERALDO PEREIRA,0.0836291481112557
62,GRAJAU,0.053495285488222584
63,GRANJAS DO SHEIK,0.065548731011144
64,HALIM SOUKI,0.08372071565686248
65,HELENO RAMOS FREITAS,0.06554560934569915
66,ICARAI,0.05303865989868748
67,INHAME,0.045747937677945515
68,INTERLAGOS,0.11704951354688019
69,IPANEMA,0.05349424587678997
70,IPIRANGA,0.10571677586919047
71,ITACOLOMI,0.07681466192498902
72,ITAI,0.09636117797668492
73,JARDIM BETANIA,0.0677893269487756
74,JARDIM BRASILIA,0.08820345456555952
75,JARDIM CANDELARIA,0.07429563859870396
76,JARDIM CAPITAO SILVA,0.11812442218092012
77,JARDIM COPACABANA,0.05828682103252406
78,JARDIM DAS ACACIAS,0.07218749108575426
79,JARDIM DAS MANSOES,0.07336691836354865
80,JARDIM DAS OLIVEIRAS,0.08581928012726364
81,JARDIM DOS CANDIDES,0.04967522801656618
82,JARDIM FLORAMAR,0.04593650868751534
83,JARDIM NOVA AMERICA,0.09810233472618346
84,JARDIM PRIMAVERA,0.004446882243784137
85,JARDIM REAL,0.0010465724751439038
86,JARDIM ZONA SUL,0.0504601823996257
87,JARDINOPOLIS,0.05623857741351656
88,JARDM DAS OLIVEIRAS,0.07240776015577603
89,JOAO PAULO II,0.07541309580784038
90,JOSE ANTONIO GONCALVES,0.07767957472858057
91,JUSA FONSECA,0.08582463162416928
92,JUSCELINO KUBISTCHEK,0.058589532375845674
93,JUSSARA,0.07748714700151958
94,LAGOA DOS MANDARINS,0.058609492187582116
95,LAGOA PARK,0.05862447097333521
96,LEVINDO DE PAULA PEREIRA,0.08731098455552325
97,LIBERDADE,0.10091481504864837
98,MANGABEIRAS,0.09693465542423431
99,MANOEL VALINHAS,0.07533260563990096
100,MAR E TERRA,0.09558820050984414
101,MARAJO,0.08387633036997932
102,MARIA HELENA,0.08411212522404149
103,MARIA PECANHA,0.0650345747314176
104,MARISA PARDINI,0.058589532375845674
105,MORADA NOVA,0.08840458008420791
106,MORUMBI,0.06634658367475672
107,NACOES,0.08593985045526012
108,NILDA BARROS,0.05240154978263814
109,NITEROI,0.11647498879033476
110,NOSSA SENHORA DA CONCEICAO,0.08676879996475796
111,NOSSA SENHORA DAS GRACAS,0.0970200694375434
112,NOSSA SENHORA DE LOURDES,0.08443722116815895
113,NOVA FORTALEZA,0.06451934675796882
114,NOVA HOLANDA,0.08311402548633658
115,NOVA SUICA,0.058855108190762916
116,NOVA VISTA,0.07758324154684276
117,NOVA VISTA ,0.07733693170235668
118,NOVO PARAISO,0.06653903672029736
119,OLIVEIRAS,0.0844398113464211
120,ORION,0.09319024341803717
121,OSWALDO MACHADO GONTIJO,0.07393643325495518
122,PADRE EUSTAQUIO,0.06661955541232802
123,PADRE HERCULANO,0.07191591101687693
124,PADRE LIBERIO,0.08435441928419898
125,PARAISO,0.07551032561809354
126,PLANALTO,0.10596502329298924
127,PONTE FUNDA,0.09895579717733693
128,PORTO VELHO,0.1255428901797857
129,PRIMAVERA,0.06271852651192739
130,PROGRESSO,0.0717939910300196
131,QUINTA DAS PALMEIRAS,0.07270035153268314
132,QUINTINO,0.052422506809917946
133,RANCHO ALEGRE,0.0787034570430874
134,REALENGO,0.0832220767348525
135,RESIDENCIAL ALTO DAS OLIVEIRAS,0.05701318137739445
136,SAGRADA FAMILIA,0.07517419259038101
137,SANTA CLARA,0.1159256016037895
138,SANTA CRUZ,0.004266950592301541
139,SANTA LUCIA,0.06658732456232569
140,SANTA LUZIA,0.10458806983859499
141,SANTA MARTHA,0.08496106083774134
142,SANTA ROSA,0.07538211770407442
143,SANTA TEREZA,0.09859426949682945
144,SANTO ANDRE,0.06592076562209885
145,SANTO ANTONIO,0.10287985536260957
146,SANTO ANTONIO DOS CAMPOS,0.004170522330328626
147,SANTOS DUMONT,0.07321860380587795
148,SAO BENTO,0.06571617471010054
149,SAO CAETANO,0.05268740377226493
150,SAO CRISTOVAO,0.05045093400197909
151,SAO DOMINGOS,0.08714513597625546
152,SAO FREI GALVAO,0.053204735683978224
153,SAO GERALDO,0.07173412060777061
154,SAO JOAO DE DEUS,0.10715717105582301
155,SAO JOSE,0.10349877463084604
156,SAO JUDAS TADEU,0.09177652819264433
157,SAO LUCAS,0.0717378595835913
158,SAO LUIZ,0.09664197626942321
159,SAO MIGUEL,0.09691076644423255
160,SAO PAULO,0.10066754717970969
161,SAO ROQUE,0.08695793429417095
162,SAO SEBASTIAO,0.10102963407773549
163,SAO SIMAO,0.059231239861467555
164,SAVASSI,0.048241384684226805
165,SERRA VERDE,0.07408368527510985
166,SION,0.07859110378535279
167,TERRA AZUL,0.06350274321364757
168,TIETE,0.08951718406770671
169,TOTONHO CARVALHO,0.004793392548494589
170,UNIVERSITARIO,0.07325562619975468
171,VALE DO SOL,0.07446446491592223
172,VILA BELO HORIZONTE,0.1243799832850744
173,VILA CASTELO,0.07490009550983596
174,VILA CENTRAL DO DIVINO,0.11075738985563037
175,VILA CRUZEIRO,0.11852113714023602
176,VILA DAS OLIVEIRAS,0.08415326842194991
177,VILA DAS ROSEIRAS,0.0593538480298851
178,VILA MINAS GERAIS,0.11285529129933097
179,VILA RICA,0.06529528690566173
180,VILA RICA ,0.0625745262578309
181,VILA ROMANA,0.08623600908778138
182,VILA ROSEIRAS,0.05862696818201528
183,VILA SANTO ANDRE,0.08620360171871419
184,VISTA ALEGRE,0.005090913465297702
185,VIVENDAS DA EXPOSICAO,0.1032696833645463
186,WALCHIR RESENDE,0.07415553367677752
187,XAVANTE,0.0644272301950142
188,YANES,0.08375892800882369
