ID,Bairro,Media Idade,Desvio Padrao Idade
1,AFONSO PENA,40.0,15.22
2,ALTA VILLE,51.0,11.0
3,ALTEROSA,43.0,13.21
4,ALTO DAS OLIVEIRAS,33.0,8.18
5,ALTO SAO VICENTE,34.0,18.32
6,ALVORADA,47.0,16.6
7,ANCHIETA,34.0,10.66
8,ANTONIO FONSECA,44.0,16.86
9,BELA VISTA,38.0,14.8
10,BELO VALE,42.0,17.38
12,BOM PASTOR,40.0,16.49
13,CACOCO,70.0,6.5
14,CAMPINA VERDE,40.0,14.83
15,CASA NOVA,29.0,11.91
17,CATALAO,42.0,14.77
19,CHACARA NOVO HORIZONTE,57.0,0.0
21,CHACARAS BELO HORIZONTE,54.0,11.91
24,CHACARAS CAMPO GRANDE,35.0,0.0
26,CHACARAS SANTA RITA,35.0,17.71
28,CHANADOUR,53.0,18.22
29,CIDADE JARDIM,45.0,13.34
31,CONDOMINIO VILLE ROYALE,27.0,7.5
32,COSTA AZUL,33.0,11.58
34,DANILO PASSOS,43.0,16.8
35,DAVANUZE,33.0,13.25
36,DEL REY,36.0,15.69
38,DISTRITO INDUSTRIAL CEL JOVELINO RABELO,34.0,13.73
40,DOM CRISTIANO,38.0,7.12
41,DOM PEDRO II,42.0,20.89
42,DONA QUITA,34.0,13.72
43,DONA ROSA,36.0,15.89
44,DOUTOR DULPHE PINTO DE AGUIAR,42.0,13.69
45,DOUTOR JOSE TOMAZ,40.0,16.4
46,ELDORADO,43.0,9.91
47,ELIZABETH NOGUEIRA,37.0,12.92
49,ESPIRITO SANTO,43.0,18.59
50,ESPLANADA,44.0,16.86
51,ESTANCIA GAFANHOTO,36.0,0.0
52,EXPOSICAO,32.0,16.78
53,FABIO NOTINI,39.0,12.86
55,FLORERMIDA,45.0,18.67
57,FLORESTA,31.0,13.06
58,FONTE BOA,40.0,16.86
61,GERALDO PEREIRA,36.0,11.47
62,GRAJAU,35.0,11.43
63,GRANJAS DO SHEIK,39.0,7.5
64,HALIM SOUKI,41.0,17.37
65,HELENO RAMOS FREITAS,37.0,9.37
66,ICARAI,36.0,16.71
68,INTERLAGOS,40.0,15.82
69,IPANEMA,40.0,0.0
70,IPIRANGA,40.0,13.5
71,ITACOLOMI,37.0,4.9
72,ITAI,39.0,17.36
73,JARDIM BETANIA,34.0,12.68
74,JARDIM BRASILIA,30.0,0.0
75,JARDIM CANDELARIA,42.0,18.27
