Source,Target,Weight
146,37,2
146,48,2
146,169,2
146,184,2
146,138,2
146,84,2
146,56,2
37,138,2
37,56,2
37,48,2
138,84,2
138,48,2
55,48,2
55,37,2
55,169,2
55,184,2
48,84,2
48,184,2
169,184,2
169,84,2
169,48,2
184,84,2
30,30,2
113,7,2
113,135,2
113,165,2
7,121,2
7,165,2
121,165,2
121,6,2
165,6,2
165,110,2
165,4,2
6,110,2
6,97,2
6,12,2
110,119,2
110,12,2
110,97,2
97,12,2
97,162,2
12,124,2
12,119,2
12,141,2
12,80,2
12,162,2
12,176,2
12,137,2
12,1,2
162,76,2
162,1,2
162,137,2
119,141,2
141,88,2
141,40,2
80,40,2
80,75,2
40,75,2
137,1,2
137,175,2
137,18,2
1,83,2
1,76,2
1,60,2
1,175,2
1,18,2
83,76,2
60,175,2
60,76,2
76,175,2
76,18,2
76,178,2
76,174,2
76,70,2
76,97,2
175,174,2
175,18,2
174,18,2
18,178,2
18,172,2
18,50,2
18,128,2
18,109,2
178,172,2
178,70,2
172,50,2
172,17,2
172,126,2
172,145,2
70,145,2
70,96,2
70,74,2
70,120,2
70,161,2
70,140,2
145,126,2
120,168,2
120,126,2
120,74,2
120,44,2
120,166,2
120,133,2
74,96,2
74,133,2
96,186,2
186,187,2
133,10,2
133,166,2
166,73,2
44,168,2
168,126,2
168,53,2
126,140,2
53,14,2
14,15,2
14,26,2
15,132,2
15,26,2
26,108,2
26,132,2
132,108,2
85,85,2
140,17,2
140,155,2
17,159,2
17,155,2
17,41,2
17,50,2
159,41,2
159,155,2
155,156,2
155,41,2
155,9,2
155,105,2
155,11,2
41,50,2
156,9,2
156,105,2
156,11,2
156,116,2
156,101,2
156,188,2
156,28,2
156,61,2
156,90,2
90,101,2
101,188,2
101,123,2
101,78,2
101,28,2
188,28,2
188,61,2
188,78,2
61,78,2
61,31,2
78,123,2
78,57,2
57,87,2
87,150,2
87,86,2
87,27,2
87,13,2
27,13,2
27,22,2
23,13,2
13,67,2
9,105,2
9,116,2
9,11,2
105,116,2
105,11,2
117,11,2
11,28,2
11,93,2
11,3,2
11,134,2
28,31,2
28,3,2
28,16,2
28,185,2
31,173,2
31,160,2
160,175,2
160,151,2
160,185,2
175,185,2
185,16,2
185,151,2
185,183,2
151,183,2
151,89,2
144,89,2
144,106,2
144,92,2
144,63,2
89,106,2
89,63,2
106,92,2
63,92,2
63,77,2
77,92,2
3,134,2
3,93,2
3,16,2
16,134,2
16,71,2
134,93,2
134,71,2
50,59,2
50,128,2
50,8,2
59,68,2
50,68,2
128,68,2
128,109,2
128,154,2
128,8,2
68,8,2
68,111,2
68,98,2
68,127,2
68,154,2
8,111,2
8,29,2
8,100,2
111,100,2
111,143,2
100,29,2
100,143,2
100,114,2
100,112,2
29,114,2
143,112,2
143,68,2
143,91,2
114,112,2
114,147,2
114,131,2
114,0,2
112,147,2
112,0,2
112,91,2
147,0,2
0,131,2
0,47,2
0,91,2
0,125,2
131,47,2
131,167,2
131,32,2
47,167,2
167,32,2
91,125,2
91,42,2
42,142,2
125,42,2
125,43,2
125,118,2
142,43,2
142,136,2
142,107,2
43,118,2
43,122,2
43,35,2
43,136,2
43,139,2
118,122,2
122,177,2
122,139,2
122,35,2
148,125,2
148,177,2
182,139,2
24,2,2
2,139,2
139,35,2
139,171,2
35,171,2
35,136,2
35,107,2
171,107,2
171,136,2
136,107,2
107,127,2
107,102,2
127,102,2
127,98,2
98,102,2
21,19,2
20,115,2
115,163,2
115,106,2
163,106,2
163,69,2
69,164,2
69,62,2
69,81,2
62,81,2
62,163,2
81,82,2
81,38,2
82,38,2
38,66,2
66,94,2
66,149,2
149,51,2
149,54,2
51,54,2
94,46,2
46,54,2
46,75,2
181,12,2
181,79,2
181,34,2
34,99,2
34,39,2
99,39,2
99,170,2
99,45,2
99,33,2
99,49,2
39,170,2
99,179,2
99,64,2
170,49,2
33,45,2
170,64,2
180,153,2
49,64,2
49,72,2
64,157,2
64,153,2
64,158,2
153,157,2
153,129,2
157,129,2
129,36,2
72,109,2
72,158,2
109,158,2
109,154,2
25,25,2
152,62,2
152,163,2
152,115,2
152,69,2
65,125,2
65,118,2
52,28,2
52,156,2
52,101,2
103,167,2
0,103,2
131,103,2
58,80,2
58,75,2
58,40,2
5,76,2
5,162,2
5,1,2
5,83,2
95,139,2
130,102,2
104,118,2
