ID,Data Fato,Bairro,Descricao Subclasse Natureza,Tentado Consumado,Descricao Meio Utilizado,Idade Aparente,Raca Cor,Escolaridade,Classificacao,Tipo,N de casos Total,N de casos Fatais,N de bairros Divisa
0,01/01/2023,34,AMEACA,CONSUMADO,FALA,32.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,
1,01/01/2023,68,FURTO,CONSUMADO,ESCALADA,22.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,
2,01/01/2023,75,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,30.0,BRANCA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,
3,01/01/2023,57,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,26.0,PARDA,SUPERIOR COMPLETO,NAO FATAL,1,,,
4,01/01/2023,47,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,29.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,
5,01/01/2023,111,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,21.0,PARDA,ENSINO MEDIO INCOMPLETO   2o GRAU ,NAO FATAL,1,,,
6,01/01/2023,125,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,27.0,PARDA,ALFABETIZADO,POSSIVEL FATAL,1,,,
7,01/01/2023,107,AMEACA,CONSUMADO,FALA,33.0,PARDA,ALFABETIZADO,NAO FATAL,1,,,
8,01/01/2023,62,AMEACA,CONSUMADO,FALA,20.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,
9,01/01/2023,10,AMEACA,CONSUMADO,FALA,39.0,PARDA,ESCOLARIDADE   IGNORADA,NAO FATAL,1,,,
10,01/01/2023,34,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,28.0,PARDA,ESCOLARIDADE   IGNORADA,POSSIVEL FATAL,1,,,
11,01/01/2023,124,FURTO,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,45.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,
12,01/01/2023,17,FURTO,CONSUMADO,ARROMBAMENTO ROMPIMENTO DE OBSTACULO,28.0,PRETO,ALFABETIZADO,POSSIVEL FATAL,1,,,
13,01/01/2024,11,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,22.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,
14,01/01/2024,87,AMEACA,CONSUMADO,FALA,50.0,PARDA,ESCOLARIDADE   IGNORADA,NAO FATAL,1,,,
15,01/01/2024,35,ESTUPRO DE VULNERAVEL,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,12.0,BRANCA,ALFABETIZADO,POSSIVEL FATAL,1,,,
16,01/01/2024,109,AMEACA,CONSUMADO,FALA,61.0,BRANCA,ALFABETIZADO,NAO FATAL,1,,,
17,01/01/2024,171,AMEACA,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,28.0,BRANCA,SUPERIOR INCOMPLETO,POSSIVEL FATAL,1,,,
18,01/01/2024,11,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,51.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,
19,01/01/2024,171,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,60.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,
20,01/01/2024,50,AMEACA,CONSUMADO,FALA,37.0,PARDA,SUPERIOR INCOMPLETO,NAO FATAL,1,,,
21,01/01/2024,177,AMEACA,CONSUMADO,FALA,19.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,
22,01/02/2023,120,AMEACA,CONSUMADO,FALA,39.0,BRANCA,ALFABETIZADO,NAO FATAL,1,,,
23,01/02/2023,18,ESTELIONATO,CONSUMADO,FRAUDE,28.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,
24,01/02/2023,18,VIOLENCIA PSICOLOGICA,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,34.0,BRANCA,POS GRADUACAO,POSSIVEL FATAL,1,,,
25,01/02/2024,137,AMEACA,CONSUMADO,FALA,56.0,BRANCA,ALFABETIZADO,NAO FATAL,1,,,
26,01/02/2024,18,ESTELIONATO,CONSUMADO,ABUSO DE CONFIANCA,47.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,
27,01/02/2024,80,ESTELIONATO,CONSUMADO,FRAUDE,84.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,
28,01/02/2024,73,DIFAMACAO,CONSUMADO,RADIODIFUSAO  TELEVISAO  RADIO  SIMILARES ,49.0,PARDA,POS GRADUACAO,NAO FATAL,1,,,
29,01/02/2024,109,FURTO,CONSUMADO,EMPREGO DE CHAVE FALSA   MICHA   GAZUA,41.0,BRANCA,ALFABETIZADO,POSSIVEL FATAL,1,,,
30,01/02/2024,18,DIFAMACAO,CONSUMADO,FALA,45.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,
31,01/02/2024,128,AMEACA,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,42.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,
32,01/02/2024,134,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,42.0,PRETO,SUPERIOR COMPLETO,NAO FATAL,1,,,
33,01/02/2024,83,FURTO,CONSUMADO,ABUSO DE CONFIANCA,79.0,PARDA,SUPERIOR COMPLETO,NAO FATAL,1,,,
34,01/02/2024,18,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,54.0,BRANCA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,
35,01/02/2024,128,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,19.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,
36,01/03/2023,83,FURTO,CONSUMADO,MEIO DESCONHECIDO,28.0,BRANCA,ALFABETIZADO,POSSIVEL FATAL,1,,,
37,01/03/2023,99,AMEACA,CONSUMADO,INST CONTUNDENTE CORTANTE PERFURANTE  ARMA BR,48.0,PARDA,ENSINO MEDIO INCOMPLETO   2o GRAU ,POSSIVEL FATAL,1,,,
