Município,Ano,PIB per capita
Abadia dos Dourados,2014,27377.91
Abaeté,2014,14882.01
Abre Campo,2014,11316.06
Acaiaca,2014,7686.15
Açucena,2014,8293.11
Água Boa,2014,7531.95
Água Comprida,2014,47701.48
Aguanil,2014,10993.36
Águas Formosas,2014,9668.72
Águas Vermelhas,2014,11616.51
Aimorés,2014,14885.13
Aiuruoca,2014,11169.5
Alagoa,2014,10208.69
Albertina,2014,23742.8
Além Paraíba,2014,20698.92
Alfenas,2014,24933.05
Alfredo Vasconcelos,2014,11092.69
Almenara,2014,10152.44
Alpercata,2014,8513.65
Alpinópolis,2014,14790.79
Alterosa,2014,11728.52
Alto Caparaó,2014,9950.03
Alto Rio Doce,2014,8724.88
Alvarenga,2014,7500.58
Alvinópolis,2014,14457.65
Alvorada de Minas,2014,18671.72
Amparo do Serra,2014,7709.56
Andradas,2014,18261.55
Cachoeira de Pajeú,2014,7804.77
Andrelândia,2014,13506.04
Angelândia,2014,9042.48
Antônio Carlos,2014,10248.81
Antônio Dias,2014,12535.28
Antônio Prado de Minas,2014,10808.32
Araçaí,2014,15926.45
Aracitaba,2014,8890.79
Araçuaí,2014,9146.81
Araguari,2014,28619.71
Arantina,2014,14165.4
Araponga,2014,7510.08
Araporã,2014,119074.56
Arapuá,2014,32695.03
Araújos,2014,27593.4
Araxá,2014,47033.45
Arceburgo,2014,21536.43
Arcos,2014,33668.69
Areado,2014,12350.14
Argirita,2014,8759.36
Aricanduva,2014,6641.63
Arinos,2014,9992.54
Astolfo Dutra,2014,19097.6
Ataléia,2014,9139.32
Augusto de Lima,2014,11396.52
Baependi,2014,11684.05
Baldim,2014,10042.51
Bambuí,2014,19236.74
Bandeira,2014,7632.31
Bandeira do Sul,2014,9566.05
Barão de Cocais,2014,31161.24
Barão de Monte Alto,2014,7367.36
Barbacena,2014,16882.01
Barra Longa,2014,8424.74
Barroso,2014,17737.89
Bela Vista de Minas,2014,23274.97
Belmiro Braga,2014,12170.76
Belo Horizonte,2014,35024.13
Belo Oriente,2014,45738.0
Belo Vale,2014,16510.01
Berilo,2014,6932.53
Bertópolis,2014,6917.92
Berizal,2014,7736.29
Betim,2014,54130.7
Bias Fortes,2014,8130.9
Bicas,2014,14267.21
Biquinhas,2014,12719.16
Boa Esperança,2014,16203.96
Bocaina de Minas,2014,7533.26
Bocaiúva,2014,13321.75
Bom Despacho,2014,20362.65
Bom Jardim de Minas,2014,14594.1
Bom Jesus da Penha,2014,24153.85
Bom Jesus do Amparo,2014,10253.21
Bom Jesus do Galho,2014,7899.42
Bom Repouso,2014,10266.27
Bom Sucesso,2014,16042.86
Bonfim,2014,10902.48
Bonfinópolis de Minas,2014,26857.68
Bonito de Minas,2014,7519.14
Borda da Mata,2014,13871.12
