Município,Ano,População
Abadia dos Dourados,2014,6992
Abaeté,2014,23494
Abre Campo,2014,13711
Acaiaca,2014,4050
Açucena,2014,10216
Água Boa,2014,14856
Água Comprida,2014,2067
Aguanil,2014,4332
Águas Formosas,2014,19248
Águas Vermelhas,2014,13378
Aimorés,2014,25685
Aiuruoca,2014,6257
Alagoa,2014,2764
Albertina,2014,3025
Além Paraíba,2014,35641
Alfenas,2014,78176
Alfredo Vasconcelos,2014,6566
Almenara,2014,41028
Alpercata,2014,7458
Alpinópolis,2014,19513
Alterosa,2014,14371
Alto Caparaó,2014,5655
Alto Rio Doce,2014,12006
Alvarenga,2014,4343
Alvinópolis,2014,15630
Alvorada de Minas,2014,3661
Amparo do Serra,2014,4997
Andradas,2014,39761
Cachoeira de Pajeú,2014,9372
Andrelândia,2014,12507
Angelândia,2014,8416
Antônio Carlos,2014,11534
Antônio Dias,2014,9711
Antônio Prado de Minas,2014,1685
Araçaí,2014,2344
Aracitaba,2014,2112
Araçuaí,2014,37220
Araguari,2014,115632
Arantina,2014,2884
Araponga,2014,8478
Araporã,2014,6593
Arapuá,2014,2870
Araújos,2014,8645
Araxá,2014,101136
Arceburgo,2014,10262
Arcos,2014,38946
Areado,2014,14624
Argirita,2014,2907
Aricanduva,2014,5078
Arinos,2014,18210
Astolfo Dutra,2014,13840
Ataléia,2014,14188
Augusto de Lima,2014,5051
Baependi,2014,19117
Baldim,2014,8082
Bambuí,2014,23759
Bandeira,2014,5039
Bandeira do Sul,2014,5639
Barão de Cocais,2014,30893
Barão de Monte Alto,2014,5738
Barbacena,2014,133972
Barra Longa,2014,5893
Barroso,2014,20590
Bela Vista de Minas,2014,10362
Belmiro Braga,2014,3500
Belo Horizonte,2014,2491109
Belo Oriente,2014,25329
Belo Vale,2014,7803
Berilo,2014,12469
Bertópolis,2014,4656
Berizal,2014,4630
Betim,2014,412003
Bias Fortes,2014,3724
Bicas,2014,14342
Biquinhas,2014,2652
Boa Esperança,2014,40155
Bocaina de Minas,2014,5169
Bocaiúva,2014,49293
Bom Despacho,2014,48802
Bom Jardim de Minas,2014,6658
Bom Jesus da Penha,2014,4121
Bom Jesus do Amparo,2014,5871
Bom Jesus do Galho,2014,15587
Bom Repouso,2014,10763
Bom Sucesso,2014,17832
Bonfim,2014,7014
Bonfinópolis de Minas,2014,5867
Bonito de Minas,2014,10535
Borda da Mata,2014,18481
Botelhos,2014,15325
Botumirim,2014,6593
Brasilândia de Minas,2014,15522
Brasília de Minas,2014,32473
Brás Pires,2014,4634
Braúnas,2014,5068
Brazópolis,2014,14957
Brumadinho,2014,37314
Bueno Brandão,2014,11217
Buenópolis,2014,10586
Bugre,2014,4128
Buritis,2014,24169
Buritizeiro,2014,28071
Cabeceira Grande,2014,6818
Cabo Verde,2014,14280
Cachoeira da Prata,2014,3727
Cachoeira de Minas,2014,11525
Cachoeira Dourada,2014,2645
Caetanópolis,2014,11046
Caeté,2014,43395
Caiana,2014,5308
Cajuri,2014,4128
Caldas,2014,14325
Camacho,2014,3133
Camanducaia,2014,21901
Cambuí,2014,28402
Cambuquira,2014,13012
Campanário,2014,3720
Campanha,2014,16325
Campestre,2014,21367
Campina Verde,2014,19991
Campo Azul,2014,3832
Campo Belo,2014,53870
Campo do Meio,2014,11844
Campo Florido,2014,7562
Campos Altos,2014,15078
Campos Gerais,2014,28783
Canaã,2014,4721
Canápolis,2014,11945
Cana Verde,2014,5738
Candeias,2014,15088
Cantagalo,2014,4436
Caparaó,2014,5435
Capela Nova,2014,4836
Capelinha,2014,37041
Capetinga,2014,7203
Capim Branco,2014,9461
Capinópolis,2014,16038
Capitão Andrade,2014,5270
Capitão Enéas,2014,14986
Capitólio,2014,8574
Caputira,2014,9371
Caraí,2014,23458
Caranaíba,2014,3330
Carandaí,2014,24864
Carangola,2014,33412
Caratinga,2014,90192
Carbonita,2014,9487
Careaçu,2014,6645
Carlos Chagas,2014,20090
Carmésia,2014,2584
Carmo da Cachoeira,2014,12276
Carmo da Mata,2014,11429
Carmo de Minas,2014,14550
Carmo do Cajuru,2014,21519
Carmo do Paranaíba,2014,30739
Carmo do Rio Claro,2014,21273
Carmópolis de Minas,2014,18416
Carneirinho,2014,9939
Carrancas,2014,4089
Carvalhópolis,2014,3523
Carvalhos,2014,4642
Casa Grande,2014,2308
Cascalho Rico,2014,3018
Cássia,2014,17991
Conceição da Barra de Minas,2014,4055
Cataguases,2014,73712
Catas Altas,2014,5184
Catas Altas da Noruega,2014,3623
Catuji,2014,6721
Catuti,2014,5187
Caxambu,2014,22244
Cedro do Abaeté,2014,1222
Central de Minas,2014,7051
Centralina,2014,10593
Chácara,2014,3010
Chalé,2014,5814
Chapada do Norte,2014,15648
Chapada Gaúcha,2014,12239
Chiador,2014,2817
Cipotânea,2014,6813
Claraval,2014,4776
Claro dos Poções,2014,7885
Cláudio,2014,27579
Coimbra,2014,7437
Coluna,2014,9195
Comendador Gomes,2014,3105
Comercinho,2014,7962
Conceição da Aparecida,2014,10263
Conceição das Pedras,2014,2845
Conceição das Alagoas,2014,25588
Conceição de Ipanema,2014,4618
Conceição do Mato Dentro,2014,18235
Conceição do Pará,2014,5430
Conceição do Rio Verde,2014,13559
Conceição dos Ouros,2014,11151
Cônego Marinho,2014,7515
Confins,2014,6409
Congonhal,2014,11334
Congonhas,2014,52280
Congonhas do Norte,2014,5111
Conquista,2014,6860
Conselheiro Lafaiete,2014,124370
Conselheiro Pena,2014,23088
Consolação,2014,1801
Contagem,2014,643476
Coqueiral,2014,9476
Coração de Jesus,2014,26933
Cordisburgo,2014,8981
Cordislândia,2014,3565
Corinto,2014,24457
Coroaci,2014,10422
Coromandel,2014,28428
Coronel Fabriciano,2014,108843
Coronel Murta,2014,9394
Coronel Pacheco,2014,3101
Coronel Xavier Chaves,2014,3440
Córrego Danta,2014,3408
Córrego do Bom Jesus,2014,3815
Córrego Fundo,2014,6159
Córrego Novo,2014,3065
Couto de Magalhães de Minas,2014,4395
Crisólita,2014,6467
Cristais,2014,12185
Cristália,2014,5993
Cristiano Otoni,2014,5193
Cristina,2014,10485
Crucilândia,2014,4991
Cruzeiro da Fortaleza,2014,4122
Cruzília,2014,15299
Cuparaque,2014,4922
Curral de Dentro,2014,7420
Curvelo,2014,78373
Datas,2014,5425
Delfim Moreira,2014,8199
Delfinópolis,2014,7120
Delta,2014,9280
Descoberto,2014,4989
Desterro de Entre Rios,2014,7279
Desterro do Melo,2014,3048
Diamantina,2014,47803
Diogo de Vasconcelos,2014,3929
Dionísio,2014,8558
Divinésia,2014,3427
Divino,2014,19947
Divino das Laranjeiras,2014,5080
Divinolândia de Minas,2014,7425
Divinópolis,2014,228643
Divisa Alegre,2014,6398
Divisa Nova,2014,6011
Divisópolis,2014,10027
Dom Bosco,2014,3857
Dom Cavati,2014,5288
Dom Joaquim,2014,4624
Dom Silvério,2014,5346
Dom Viçoso,2014,3074
Dona Euzébia,2014,6386
Dores de Campos,2014,9882
Dores de Guanhães,2014,5335
Dores do Indaiá,2014,14014
Dores do Turvo,2014,4495
Doresópolis,2014,1512
Douradoquara,2014,1915
Durandé,2014,7783
Elói Mendes,2014,27019
Engenheiro Caldas,2014,10888
Engenheiro Navarro,2014,7353
Entre Folhas,2014,5373
Entre Rios de Minas,2014,15034
Ervália,2014,18789
Esmeraldas,2014,66237
Espera Feliz,2014,24287
Espinosa,2014,32117
Espírito Santo do Dourado,2014,4648
Estiva,2014,11329
Estrela Dalva,2014,2483
