Tabela 6579 - População residente estimada,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Variável - População residente estimada (Pessoas),,,,,,,,
Município,Ano,,,,,,,
,2014,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Alta Floresta D'Oeste (RO),25652,25578.0,25506.0,25437.0,23167.0,22945.0,22728.0,22516.0
Ariquemes (RO),102860,104401.0,105896.0,107345.0,106168.0,107863.0,109523.0,111148.0
Cabixi (RO),6424,6355.0,6289.0,6224.0,5438.0,5312.0,5188.0,5067.0
Cacoal (RO),86556,87226.0,87877.0,88507.0,84813.0,85359.0,85893.0,86416.0
Cerejeiras (RO),18013,17986.0,17959.0,17934.0,16444.0,16323.0,16204.0,16088.0
Colorado do Oeste (RO),19001,18817.0,18639.0,18467.0,16227.0,15882.0,15544.0,15213.0
Corumbiara (RO),8938,8842.0,8749.0,8659.0,7567.0,7391.0,7220.0,7052.0
Costa Marques (RO),16258,16651.0,17031.0,17400.0,17855.0,18331.0,18798.0,19255.0
Espigão D'Oeste (RO),32047,32385.0,32712.0,33030.0,32047.0,32374.0,32695.0,33009.0
Guajará-Mirim (RO),46203,46632.0,47048.0,47451.0,45783.0,46174.0,46556.0,46930.0
Jaru (RO),55669,55738.0,55806.0,55871.0,51933.0,51775.0,51620.0,51469.0
Ji-Paraná (RO),129242,130419.0,131560.0,132667.0,127907.0,128969.0,130009.0,131026.0
Machadinho D'Oeste (RO),36412,37167.0,37899.0,38609.0,39097.0,39991.0,40867.0,41724.0
Nova Brasilândia D'Oeste (RO),21511,21592.0,21670.0,21747.0,20459.0,20474.0,20489.0,20504.0
Ouro Preto do Oeste (RO),40010,39924.0,39840.0,39759.0,36340.0,36035.0,35737.0,35445.0
Pimenta Bueno (RO),37230,37512.0,37786.0,38051.0,36434.0,36660.0,36881.0,37098.0
Porto Velho (RO),494013,502748.0,511219.0,519436.0,519531.0,529544.0,539354.0,548952.0
