Município,Ano,RISP,RMBH,Número de Vítimas
ABADIA DOS DOURADOS,2014,10º RISP - Patos de Minas,3) Interior de MG,29
ABADIA DOS DOURADOS,2015,10º RISP - Patos de Minas,3) Interior de MG,41
ABADIA DOS DOURADOS,2016,10º RISP - Patos de Minas,3) Interior de MG,53
ABADIA DOS DOURADOS,2017,10º RISP - Patos de Minas,3) Interior de MG,33
ABADIA DOS DOURADOS,2018,10º RISP - Patos de Minas,3) Interior de MG,38
ABADIA DOS DOURADOS,2019,10º RISP - Patos de Minas,3) Interior de MG,18
ABADIA DOS DOURADOS,2020,10º Departamento - Patos de Minas,3) Interior de MG,30
ABADIA DOS DOURADOS,2021,10º Departamento - Patos de Minas,3) Interior de MG,38
ABAETE,2014,7º RISP - Divinópolis,3) Interior de MG,240
ABAETE,2015,7º RISP - Divinópolis,3) Interior de MG,263
ABAETE,2016,7º RISP - Divinópolis,3) Interior de MG,223
ABAETE,2017,7º RISP - Divinópolis,3) Interior de MG,214
ABAETE,2018,7º RISP - Divinópolis,3) Interior de MG,236
ABAETE,2019,7º RISP - Divinópolis,3) Interior de MG,230
ABAETE,2020,7º Departamento - Divinópolis,3) Interior de MG,192
ABAETE,2021,7º Departamento - Divinópolis,3) Interior de MG,202
ABRE-CAMPO,2014,12º RISP - Ipatinga,3) Interior de MG,84
ABRE-CAMPO,2015,12º RISP - Ipatinga,3) Interior de MG,58
ABRE-CAMPO,2016,12º RISP - Ipatinga,3) Interior de MG,62
ABRE-CAMPO,2017,12º RISP - Ipatinga,3) Interior de MG,60
ABRE-CAMPO,2018,12º RISP - Ipatinga,3) Interior de MG,51
ABRE-CAMPO,2019,12º RISP - Ipatinga,3) Interior de MG,78
ABRE-CAMPO,2020,12º Departamento - Ipatinga,3) Interior de MG,68
ABRE-CAMPO,2021,12º Departamento - Ipatinga,3) Interior de MG,58
ACAIACA,2014,12º RISP - Ipatinga,3) Interior de MG,25
ACAIACA,2015,12º RISP - Ipatinga,3) Interior de MG,34
ACAIACA,2016,12º RISP - Ipatinga,3) Interior de MG,22
ACAIACA,2017,12º RISP - Ipatinga,3) Interior de MG,43
ACAIACA,2018,12º RISP - Ipatinga,3) Interior de MG,39
ACAIACA,2019,12º RISP - Ipatinga,3) Interior de MG,28
ACAIACA,2020,12º Departamento - Ipatinga,3) Interior de MG,26
ACAIACA,2021,12º Departamento - Ipatinga,3) Interior de MG,25
ACUCENA,2014,12º RISP - Ipatinga,3) Interior de MG,48
ACUCENA,2015,12º RISP - Ipatinga,3) Interior de MG,44
ACUCENA,2016,12º RISP - Ipatinga,3) Interior de MG,28
ACUCENA,2017,12º RISP - Ipatinga,3) Interior de MG,38
ACUCENA,2018,12º RISP - Ipatinga,3) Interior de MG,31
ACUCENA,2019,12º RISP - Ipatinga,3) Interior de MG,26
ACUCENA,2020,12º Departamento - Ipatinga,3) Interior de MG,33
ACUCENA,2021,12º Departamento - Ipatinga,3) Interior de MG,26
AGUA BOA,2014,14º RISP - Curvelo,3) Interior de MG,56
AGUA BOA,2015,14º RISP - Curvelo,3) Interior de MG,82
AGUA BOA,2016,14º RISP - Curvelo,3) Interior de MG,100
AGUA BOA,2017,14º RISP - Curvelo,3) Interior de MG,78
AGUA BOA,2018,14º RISP - Curvelo,3) Interior de MG,75
AGUA BOA,2019,14º RISP - Curvelo,3) Interior de MG,61
AGUA BOA,2020,14º Departamento - Curvelo,3) Interior de MG,76
